term,term_label,layperson
http://purl.obolibrary.org/obo/HP_0003843,Round epiphyses of the upper limbs,Round end part of upper limb bones
http://purl.obolibrary.org/obo/HP_0001249,Intellectual disability,Intellectual disability
http://purl.obolibrary.org/obo/HP_0009430,Broad middle phalanx of the 3rd finger,Broad middle bone of middle finger
http://purl.obolibrary.org/obo/HP_0000431,Wide nasal bridge,Broad nasal root
http://purl.obolibrary.org/obo/HP_0009985,Duplication of phalanx of 5th finger,Partial/complete duplication of pinky finger bone
http://purl.obolibrary.org/obo/HP_0009333,Abnormality of the epiphysis of the proximal phalanx of the 3rd finger,Abnormality of the end part of the innermost bone of the middle finger
http://purl.obolibrary.org/obo/HP_0001833,Long foot,Long foot
http://purl.obolibrary.org/obo/HP_0001370,Rheumatoid arthritis,Rheumatoid arthritis
http://purl.obolibrary.org/obo/HP_0100028,Ectopic thyroid,Abnormal thryoid location
http://purl.obolibrary.org/obo/HP_0005280,Depressed nasal bridge,Flattened nasal bridge
http://purl.obolibrary.org/obo/HP_0009358,Abnormality of the proximal phalanx of the 3rd finger,Abnormal innermost bone of middle finger
http://purl.obolibrary.org/obo/HP_0500134,Hypertryptophanemia,High blood tryptophan concentration
http://purl.obolibrary.org/obo/HP_0009445,Symphalangism of the 3rd finger,Fused middle finger
http://purl.obolibrary.org/obo/HP_0002006,Facial cleft,Facial cleft
http://purl.obolibrary.org/obo/HP_0032106,Conjunctival icterus,Yellowing of the whites of the eyes
http://purl.obolibrary.org/obo/HP_0008326,Reduced circulating vitamin B6 level,Reduced vitamin b6 levels
http://purl.obolibrary.org/obo/HP_0004660,Hypoplasia of facial musculature,Deficiency of facial musculature
http://purl.obolibrary.org/obo/HP_0009108,Aplasia/Hypoplasia involving the femoral head and neck,Absent/small head and neck of thighbone
http://purl.obolibrary.org/obo/HP_0000448,Prominent nose,Increased size of nose
http://purl.obolibrary.org/obo/HP_0003281,Increased circulating ferritin concentration,Increased serum ferritin level
http://purl.obolibrary.org/obo/HP_0100942,Sclerosis of the distal phalanx of the 5th toe,Increased bone density in the outermost bone of the pinky toe
http://purl.obolibrary.org/obo/HP_0100217,Fragmentation of the epiphysis of the middle phalanx of the 5th toe,Fragmentation of the end part of the middle bone of the pinky toe
http://purl.obolibrary.org/obo/HP_0010095,Partial duplication of the proximal phalanx of the hallux,Partial duplication of the innermost bone of big toe
http://purl.obolibrary.org/obo/HP_0002788,Recurrent upper respiratory tract infections,Recurrent colds
http://purl.obolibrary.org/obo/HP_0002367,Visual hallucinations,Visual hallucinations
http://purl.obolibrary.org/obo/HP_0008363,Aplasia/Hypoplasia of the tarsal bones,Absent/underdeveloped ankle bone
http://purl.obolibrary.org/obo/HP_0000925,Abnormality of the vertebral column,Abnormal vertebral column
http://purl.obolibrary.org/obo/HP_0005927,Aplasia/hypoplasia involving bones of the hand,Absent/underdeveloped hand bones
http://purl.obolibrary.org/obo/HP_0000143,Rectovaginal fistula,Abnormal connection between rectum and vagina
http://purl.obolibrary.org/obo/HP_0100421,Partial duplication of the middle phalanx of the 5th toe,Partial duplication of the middle bone of the little toe
http://purl.obolibrary.org/obo/HP_0040016,Prominent coccyx,Prominent tailbone
http://purl.obolibrary.org/obo/HP_0009981,Partial duplication of the distal phalanx of the 4th finger,Partial duplication of the outermost bone of the ring finger
http://purl.obolibrary.org/obo/HP_0000426,Prominent nasal bridge,Prominent nasal bridge
http://purl.obolibrary.org/obo/HP_0009003,Increased subcutaneous truncal adipose tissue,Increased fat below the skin in trunk
http://purl.obolibrary.org/obo/HP_0001507,Growth abnormality,Abnormal growth
http://purl.obolibrary.org/obo/HP_0011875,Abnormal platelet morphology,Abnormal shape of platelets
http://purl.obolibrary.org/obo/HP_0011443,Abnormality of coordination,Coordination issue
http://purl.obolibrary.org/obo/HP_0002360,Sleep disturbance,Trouble sleeping
http://purl.obolibrary.org/obo/HP_0010014,Abnormality of the epiphysis of the 1st metacarpal,Abnormality of the end part of the 1st long bone of hand
http://purl.obolibrary.org/obo/HP_0012814,Bilateral breast hypoplasia,Two underdeveloped breasts
http://purl.obolibrary.org/obo/HP_0005844,Rounded middle phalanx of finger,Rounded middle bone of finger
http://purl.obolibrary.org/obo/HP_0009617,Abnormality of the distal phalanx of the thumb,Abnormality of the outermost bone of the thumb
http://purl.obolibrary.org/obo/HP_0001538,Protuberant abdomen,Belly sticks out
http://purl.obolibrary.org/obo/HP_0100068,Cone-shaped epiphyses of the 4th toe,Cone-shaped end part of the 4th toe bone
http://purl.obolibrary.org/obo/HP_0004724,Calcium nephrolithiasis,Calcium kidney stone
http://purl.obolibrary.org/obo/HP_0009746,Thick nasal septum,Broad septum of nose
http://purl.obolibrary.org/obo/HP_0045036,Abnormal urinary copper concentration,Abnormal urinary copper concentration
http://purl.obolibrary.org/obo/HP_0009192,Aplasia/Hypoplasia of the proximal phalanx of the 5th finger,Absent/small innermost pinkie finger bone
http://purl.obolibrary.org/obo/HP_0000431,Wide nasal bridge,Wide bridge of nose
http://purl.obolibrary.org/obo/HP_0002659,Increased susceptibility to fractures,Abnormal susceptibility to fractures
http://purl.obolibrary.org/obo/HP_0100937,Sclerosis of the middle phalanx of the 4th toe,Increased bone density in the middle bone of the 4th toe
http://purl.obolibrary.org/obo/HP_0009245,Triangular shaped distal phalanx of the 5th finger,Triangular shaped outermost little finger bone
http://purl.obolibrary.org/obo/HP_0011823,Chin with horizontal crease,Horizontal chin skin cleft
http://purl.obolibrary.org/obo/HP_0002597,Abnormality of the vasculature,Vascular abnormalities
http://purl.obolibrary.org/obo/HP_0001482,Subcutaneous nodule,Firm lump under the skin
http://purl.obolibrary.org/obo/HP_0000217,Xerostomia,Dry mouth
http://purl.obolibrary.org/obo/HP_0007443,Partial albinism,Partial absent skin pigmentation
http://purl.obolibrary.org/obo/HP_0030837,Finger pain,Finger pain
http://purl.obolibrary.org/obo/HP_0001141,Severely reduced visual acuity,Marked vision impairment
http://purl.obolibrary.org/obo/HP_0009768,Broad phalanges of the hand,Wide hand bones
http://purl.obolibrary.org/obo/HP_0001347,Hyperreflexia,Increased reflexes
http://purl.obolibrary.org/obo/HP_0010043,Aplasia of the 4th metacarpal,Absent 4th long bone of hand
http://purl.obolibrary.org/obo/HP_0100216,Enlarged epiphysis of the middle phalanx of the 5th toe,Enlarged end part of the middle bone of the little toe
http://purl.obolibrary.org/obo/HP_0010317,Scapular aplasia,Absent shoulder blade
http://purl.obolibrary.org/obo/HP_0010079,Curved distal phalanx of the hallux,Curved outermost bone of big toe
http://purl.obolibrary.org/obo/HP_0000718,Aggressive behavior,Aggressive behaviour
http://purl.obolibrary.org/obo/HP_0006248,Limited wrist movement,Limited movement of the wrist
http://purl.obolibrary.org/obo/HP_0100461,Patchy sclerosis of the middle phalanx of the 3rd toe,Uneven increase in bone density in the middle bone of the 3rd toe
http://purl.obolibrary.org/obo/HP_0000275,Narrow face,Decreased breadth of face
http://purl.obolibrary.org/obo/HP_0000637,Long palpebral fissure,Broad opening between the eyelids
http://purl.obolibrary.org/obo/HP_0000969,Edema,Water retention
http://purl.obolibrary.org/obo/HP_0100917,Sclerosis of proximal finger phalanx,Increased bone density in innermost finger bone
http://purl.obolibrary.org/obo/HP_0011341,Long upper lip,Long upper lip
http://purl.obolibrary.org/obo/HP_0009227,Broad proximal phalanx of the 5th finger,Broad innermost pinky finger bone
http://purl.obolibrary.org/obo/HP_0009239,Aplasia/Hypoplasia of the distal phalanx of the 5th finger,Absent/small outermost bone of pinky finger
http://purl.obolibrary.org/obo/HP_0009198,Abnormality of the epiphysis of the distal phalanx of the 5th finger,Abnormality of end part of the outermost bone of the pinky finger
http://purl.obolibrary.org/obo/HP_0009483,Symphalangism of the proximal phalanx of the 3rd finger with the 3rd metacarpal,Fused innermost bones of middle finger with middle long bone of hand
http://purl.obolibrary.org/obo/HP_0001233,2-3 finger syndactyly,Webbed 2nd-3rd fingers
http://purl.obolibrary.org/obo/HP_0002176,Spinal cord compression,Pressure on spinal cord
http://purl.obolibrary.org/obo/HP_0000446,Narrow nasal bridge,"Nasal bridge, thin"
http://purl.obolibrary.org/obo/HP_0004295,Abnormality of the gastric mucosa,Abnormality of the mucous membrane layer of stomach
http://purl.obolibrary.org/obo/HP_0000504,Abnormality of vision,Abnormality of sight
http://purl.obolibrary.org/obo/HP_0006502,Aplasia/Hypoplasia involving the carpal bones,Absent/underdeveloped wrist bones
http://purl.obolibrary.org/obo/HP_0005613,Aplasia/hypoplasia of the femur,Absent/small thighbone
http://purl.obolibrary.org/obo/HP_0002757,Recurrent fractures,Varying degree of multiple fractures
http://purl.obolibrary.org/obo/HP_0007362,Aplasia/Hypoplasia of the brainstem,Absent/underdeveloped brainstem
http://purl.obolibrary.org/obo/HP_0000205,Pursed lips,Tightly closed lips
http://purl.obolibrary.org/obo/HP_0004225,Abnormality of the distal phalanx of the 5th finger,Abnormality of the outermost pinky finger bone
http://purl.obolibrary.org/obo/HP_0000378,Cupped ear,"Simple, cup-shaped ears"
http://purl.obolibrary.org/obo/HP_0009226,Short proximal phalanx of the 5th finger,Short innermost pinkie finger bone
http://purl.obolibrary.org/obo/HP_0001852,Sandal gap,Widely spaced first and second toes
http://purl.obolibrary.org/obo/HP_0010329,Abnormality of the epiphyses of the 3rd toe,Abnormality of the end part of the 3rd toe bone
http://purl.obolibrary.org/obo/HP_0100911,Sclerosis of the proximal phalanx of the 5th finger,Increased bone density in innermost little finger bone
http://purl.obolibrary.org/obo/HP_0030319,Weakness of facial musculature,Facial muscle weakness
http://purl.obolibrary.org/obo/HP_0011468,Facial tics,Cramping of facial muscles
http://purl.obolibrary.org/obo/HP_0025207,Triggered by dehydration,Triggered by dehydration
http://purl.obolibrary.org/obo/HP_0009826,Limb undergrowth,limb shortening
http://purl.obolibrary.org/obo/HP_0005768,2-4 toe cutaneous syndactyly,"Webbed 2nd, 3rd and 4th toes"
http://purl.obolibrary.org/obo/HP_0004679,Large tarsal bones,Large ankle bones
http://purl.obolibrary.org/obo/HP_0000529,Progressive visual loss,Progressive visual impairment
http://purl.obolibrary.org/obo/HP_0000572,Visual loss,Vision loss
http://purl.obolibrary.org/obo/HP_0100490,Camptodactyly of finger,Permanent flexion of the finger
http://purl.obolibrary.org/obo/HP_0100546,Carotid artery stenosis,Narrowing of carotid artery
http://purl.obolibrary.org/obo/HP_0007164,Slowed slurred speech,Slowed slurred speech
http://purl.obolibrary.org/obo/HP_0008454,Lumbar kyphosis,Rounded lower back
http://purl.obolibrary.org/obo/HP_0002561,Absent nipple,Absent nipples
http://purl.obolibrary.org/obo/HP_0011520,Deuteranomaly,Green-weak
http://purl.obolibrary.org/obo/HP_0001582,Redundant skin,Redundant skin folds
http://purl.obolibrary.org/obo/HP_0008639,Gonadal hypoplasia,Underdeveloped gonad
http://purl.obolibrary.org/obo/HP_0000924,Abnormality of the skeletal system,Abnormality of the skeletal system
http://purl.obolibrary.org/obo/HP_0008518,Aplasia/Hypoplasia involving the vertebral column,Absent/underdeveloped vertebral column
http://purl.obolibrary.org/obo/HP_0011767,Abnormality of the parathyroid physiology,Parathyroid dysfunction
http://purl.obolibrary.org/obo/HP_0006336,Short dental roots,Short tooth roots
http://purl.obolibrary.org/obo/HP_0000940,Abnormal diaphysis morphology,Abnormal shape of shaft of long bone
http://purl.obolibrary.org/obo/HP_0100390,Short distal phalanx of the 4th toe,Short outermost bone of the 4th toe
http://purl.obolibrary.org/obo/HP_0011329,Abnormality of cranial sutures,Abnormality of cranial sutures
http://purl.obolibrary.org/obo/HP_0000892,Bifid ribs,Split ribs
http://purl.obolibrary.org/obo/HP_0009441,Bullet-shaped phalanges of the 3rd finger,Bullet-shaped bones of middle finger
http://purl.obolibrary.org/obo/HP_0003041,Humeroradial synostosis,Fusion of upper and lower arm bones
http://purl.obolibrary.org/obo/HP_0001446,Abnormality of the musculature of the upper limbs,Abnormal upper limb muscles
http://purl.obolibrary.org/obo/HP_0007623,Pigmentation anomalies of sun-exposed skin,Abnormal pigmentation in sun-exposed skin
http://purl.obolibrary.org/obo/HP_0005947,Decreased sensitivity to hypoxemia,Decreased sensitivity to hypoxemia
http://purl.obolibrary.org/obo/HP_0007616,Nevus flammeus nuchae,Port-wine stain on neck
http://purl.obolibrary.org/obo/HP_0010318,Aplasia/Hypoplasia of the abdominal wall musculature,Absent/small abdominal wall muscles
http://purl.obolibrary.org/obo/HP_0002793,Abnormal pattern of respiration,Unusual breathing patterns
http://purl.obolibrary.org/obo/HP_0100400,Duplication of the distal phalanx of the 5th toe,Duplication of the outermost bone of the little toe
http://purl.obolibrary.org/obo/HP_0009513,Absent epiphysis of the middle phalanx of the 2nd finger,Missing end part of the middle long bone of the index finger
http://purl.obolibrary.org/obo/HP_0008519,Abnormal coccyx morphology,Abnormal tailbone
http://purl.obolibrary.org/obo/HP_0009931,Enlarged naris,Broad nostril
http://purl.obolibrary.org/obo/HP_0000680,Delayed eruption of primary teeth,Delayed eruption of milk teeth
http://purl.obolibrary.org/obo/HP_0010757,Aplasia of the premaxilla,Absence of the premaxilla
http://purl.obolibrary.org/obo/HP_0030018,Decreased female libido,Decreased female sex drive
http://purl.obolibrary.org/obo/HP_0030834,Shoulder pain,Shoulder pain
http://purl.obolibrary.org/obo/HP_0010578,Bracket epiphyses,Bracket shaped end part of long bone
http://purl.obolibrary.org/obo/HP_0000418,Narrow nasal ridge,Pinched nose
http://purl.obolibrary.org/obo/HP_0005927,Aplasia/hypoplasia involving bones of the hand,Absent/small hand bones
http://purl.obolibrary.org/obo/HP_0100226,Cone-shaped epiphysis of the proximal phalanx of the 5th toe,Cone-shaped end part of the innermost bone of the little toe
http://purl.obolibrary.org/obo/HP_0100483,Symphalangism of the proximal phalanx of the 2nd toe with the 2nd metatarsal,Fused innermost bone of 2nd toe with the 2nd long bone of foot
http://purl.obolibrary.org/obo/HP_0100217,Fragmentation of the epiphysis of the middle phalanx of the 5th toe,Fragmentation of the end part of the middle bone of the little toe
http://purl.obolibrary.org/obo/HP_0011071,Abnormality of permanent molar morphology,Abnormality of shape of permanent molar
http://purl.obolibrary.org/obo/HP_0003016,Metaphyseal widening,Broad wide portion of long bone
http://purl.obolibrary.org/obo/HP_0009249,Abnormality of the epiphysis of the distal phalanx of the 4th finger,Abnormality of the end part of the outermost bone of the ring finger
http://purl.obolibrary.org/obo/HP_0009153,Abnormality of the epiphysis of the proximal phalanx of the 5th finger,Abnormality of end part of the innermost bone of little finger
http://purl.obolibrary.org/obo/HP_0001396,Cholestasis,Slowed or blocked flow of bile from liver
http://purl.obolibrary.org/obo/HP_0000271,Abnormality of the face,Facial abnormality
http://purl.obolibrary.org/obo/HP_0009380,Aplasia of the fingers,Absent fingers
http://purl.obolibrary.org/obo/HP_0011332,Hemifacial hypoplasia,Decreased size of one side of the face
http://purl.obolibrary.org/obo/HP_0008551,Microtia,Underdeveloped ears
http://purl.obolibrary.org/obo/HP_0003233,Decreased HDL cholesterol concentration,Low HDL-cholesterol
http://purl.obolibrary.org/obo/HP_0010330,Abnormality of the phalanges of the 3rd toe,Abnormality of the bones of the 3rd toe
http://purl.obolibrary.org/obo/HP_0008609,Morphological abnormality of the middle ear,Morphological abnormality of the middle ear
http://purl.obolibrary.org/obo/HP_0004406,"Spontaneous, recurrent epistaxis","Spontaneous, recurrent nosebleed"
http://purl.obolibrary.org/obo/HP_0001831,Short toe,Short toe
http://purl.obolibrary.org/obo/HP_0000750,Delayed speech and language development,Impaired speech and language development
http://purl.obolibrary.org/obo/HP_0002553,Highly arched eyebrow,Highly arched eyebrow
http://purl.obolibrary.org/obo/HP_0000750,Delayed speech and language development,Language delayed
http://purl.obolibrary.org/obo/HP_0000735,Impaired social interactions,Poor social interactions
http://purl.obolibrary.org/obo/HP_0010741,Pedal edema,Fluid accumulation in lower limbs
http://purl.obolibrary.org/obo/HP_0010233,Irregular epiphyses of the phalanges of the hand,Irregular end part of finger bones
http://purl.obolibrary.org/obo/HP_0000212,Gingival overgrowth,Gum enlargement
http://purl.obolibrary.org/obo/HP_0009388,Ivory epiphyses of the 5th finger,Increased bone density of end part of the pinkie finger
http://purl.obolibrary.org/obo/HP_0006499,Abnormality of femoral epiphysis,Abnormality of thighbone end part
http://purl.obolibrary.org/obo/HP_0100433,Broad distal phalanx of the 5th toe,Wide outermost bone of the pinky toe
http://purl.obolibrary.org/obo/HP_0001171,Split hand,Claw hands
http://purl.obolibrary.org/obo/HP_0000622,Blurred vision,Blurred vision
http://purl.obolibrary.org/obo/HP_0000298,Mask-like facies,Lack of facial expression
http://purl.obolibrary.org/obo/HP_0010058,Aplasia/Hypoplasia of the phalanges of the hallux,Absent/underdeveloped big toe bone
http://purl.obolibrary.org/obo/HP_0006009,Broad phalanx,Wide digital bones
http://purl.obolibrary.org/obo/HP_0009375,Bullet-shaped phalanges of the 5th finger,Bullet-shaped little finger bones
http://purl.obolibrary.org/obo/HP_0010710,3-5 finger syndactyly,"Webbed third, fourth and fifth toes"
http://purl.obolibrary.org/obo/HP_0000159,Abnormal lip morphology,Lip abnormality
http://purl.obolibrary.org/obo/HP_0006042,Y-shaped metacarpals,Y-shaped long bone of hand
http://purl.obolibrary.org/obo/HP_0001644,Dilated cardiomyopathy,Stretched and thinned heart muscle
http://purl.obolibrary.org/obo/HP_0000695,Natal tooth,Teeth present at birth
http://purl.obolibrary.org/obo/HP_0100660,Dyskinesia,Disorder of involuntary muscle movements
http://purl.obolibrary.org/obo/HP_0009383,Bracket epiphyses of the 5th finger,Bracket shaped end part of pinkie finger bone
http://purl.obolibrary.org/obo/HP_0005792,Short humerus,Short humerus
http://purl.obolibrary.org/obo/HP_0010750,Dermatochalasis,Extra eyelid skin
http://purl.obolibrary.org/obo/HP_0010394,Abnormality of the proximal phalanx of the 5th toe,Abnormality of the innermost bone of the pinky toe
http://purl.obolibrary.org/obo/HP_0008697,Hypoplasia of the fallopian tube,Underdeveloped fallopian tube
http://purl.obolibrary.org/obo/HP_0003361,Tryptophanuria,High urine tryptophan levels
http://purl.obolibrary.org/obo/HP_0002817,Abnormality of the upper limb,Abnormality of the upper limb
http://purl.obolibrary.org/obo/HP_0002298,Absent hair,Absent hair
http://purl.obolibrary.org/obo/HP_0200021,Down-sloping shoulders,"Rounded, sloping shoulders"
http://purl.obolibrary.org/obo/HP_0009556,Absent tibia,Absent shinbone
http://purl.obolibrary.org/obo/HP_0009154,Triangular epiphysis of the proximal phalanx of the 5th finger,Triangular end part of the innermost bone of pinkie finger
http://purl.obolibrary.org/obo/HP_0032551,Hemorrhoids,Piles
http://purl.obolibrary.org/obo/HP_0200055,Small hand,Small hand
http://purl.obolibrary.org/obo/HP_0005181,Premature coronary artery atherosclerosis,Premature coronary artery disease
http://purl.obolibrary.org/obo/HP_0002378,Hand tremor,Tremor of hands
http://purl.obolibrary.org/obo/HP_0001373,Joint dislocation,Joint dislocations
http://purl.obolibrary.org/obo/HP_0001894,Thrombocytosis,Increased number of platelets in blood
http://purl.obolibrary.org/obo/HP_0009746,Thick nasal septum,Thick septum of nose
http://purl.obolibrary.org/obo/HP_0009825,Aplasia involving bones of the extremities,Absent bones of the extremities
http://purl.obolibrary.org/obo/HP_0004214,Curved phalanges of the 5th finger,Curved little finger bone
http://purl.obolibrary.org/obo/HP_0000387,Absent earlobe,Lobeless ears
http://purl.obolibrary.org/obo/HP_0100754,Mania,Manic
http://purl.obolibrary.org/obo/HP_0410018,Recurrent ear infections,Frequent ear infections
http://purl.obolibrary.org/obo/HP_0000682,Abnormality of dental enamel,Enamel abnormalities
http://purl.obolibrary.org/obo/HP_0009174,Abnormality of the epiphyses of the 4th finger,Abnormality of the end part of the ring finger
http://purl.obolibrary.org/obo/HP_0000356,Abnormality of the outer ear,Abnormality of the external ear
http://purl.obolibrary.org/obo/HP_0009171,Triangular epiphyses of the metacarpals,Triangular end part of the long bone of hand
http://purl.obolibrary.org/obo/HP_0001482,Subcutaneous nodule,Growth of abnormal tissue under the skin
http://purl.obolibrary.org/obo/HP_0001376,Limitation of joint mobility,Limited joint motion
http://purl.obolibrary.org/obo/HP_0012413,Notched primary central incisor,Notched front baby tooth
http://purl.obolibrary.org/obo/HP_0002754,Osteomyelitis,Bone infection
http://purl.obolibrary.org/obo/HP_0011468,Facial tics,Jerking of facial muscles
http://purl.obolibrary.org/obo/HP_0007605,Excessive wrinkling of palmar skin,"Redundant, wrinkled skin of palms"
http://purl.obolibrary.org/obo/HP_0006480,Premature loss of teeth,Early tooth loss
http://purl.obolibrary.org/obo/HP_0009378,Triangular shaped phalanges of the 5th finger,Triangular shaped little finger bones
http://purl.obolibrary.org/obo/HP_0001028,Hemangioma,Strawberry mark
http://purl.obolibrary.org/obo/HP_0003593,Infantile onset,Onset in infancy
http://purl.obolibrary.org/obo/HP_0003623,Neonatal onset,Neonatal onset
http://purl.obolibrary.org/obo/HP_0040064,Abnormality of limbs,Abnormality of limbs
http://purl.obolibrary.org/obo/HP_0010412,Duplication of the middle phalanx of the 2nd toe,Duplication of middle bone of 2nd toe
http://purl.obolibrary.org/obo/HP_0008774,Aplasia/Hypoplasia of the inner ear,Absent/small inner ear
http://purl.obolibrary.org/obo/HP_0012065,Multiple bony cystic lesions,Multiple bony cystic lesions
http://purl.obolibrary.org/obo/HP_0009988,Duplication of the distal phalanx of the 5th finger,Duplication of the outermost pinkie finger bone
http://purl.obolibrary.org/obo/HP_0100081,Fragmentation of the epiphyses of the 5th toe,Fragmentation of the end part of the pinkie toe bone
http://purl.obolibrary.org/obo/HP_0030051,Tip-toe gait,Walking on tiptoes
http://purl.obolibrary.org/obo/HP_0400000,Tall chin,Increased height of chin
http://purl.obolibrary.org/obo/HP_0009609,Duplication of the 1st metacarpal,Partial/complete duplication of the 1st long bone of hand
http://purl.obolibrary.org/obo/HP_0100537,Fasciitis,Inflammation of the fascia
http://purl.obolibrary.org/obo/HP_0008436,Absent/hypoplastic coccyx,Absent/underdeveloped tailbone
http://purl.obolibrary.org/obo/HP_0005715,Flattened knee epiphyses,Flattened end part of knee bone
http://purl.obolibrary.org/obo/HP_0006887,"Intellectual disability, progressive","Mental retardation, progressive"
http://purl.obolibrary.org/obo/HP_0001269,Hemiparesis,Weakness of one side of body
http://purl.obolibrary.org/obo/HP_0002311,Incoordination,Difficulties in coordination
http://purl.obolibrary.org/obo/HP_0004415,Pulmonary artery stenosis,Narrowing of lung artery
http://purl.obolibrary.org/obo/HP_0008572,External ear malformation,External ear malformation
http://purl.obolibrary.org/obo/HP_0040189,Scaling skin,flaking skin
http://purl.obolibrary.org/obo/HP_0002999,Patellar dislocation,Dislocated kneecap
http://purl.obolibrary.org/obo/HP_0011363,Abnormality of hair growth rate,Abnormality of speed of hair growth
http://purl.obolibrary.org/obo/HP_0100543,Cognitive impairment,Cognitive abnormality
http://purl.obolibrary.org/obo/HP_0100785,Insomnia,Difficulty staying or falling asleep
http://purl.obolibrary.org/obo/HP_0002213,Fine hair,Fine hair
http://purl.obolibrary.org/obo/HP_0000687,Widely spaced teeth,Widely spaced teeth
http://purl.obolibrary.org/obo/HP_0011069,Increased number of teeth,Extra teeth
http://purl.obolibrary.org/obo/HP_0003907,Abnormality of the humeral metaphyses,Abnormality of the wide portion of the long bone in upper arm
http://purl.obolibrary.org/obo/HP_0000633,Decreased lacrimation,Decreased tear secretion
http://purl.obolibrary.org/obo/HP_0003896,Irregular humeral epiphyses,Irregular end part of long bone in upper arm
http://purl.obolibrary.org/obo/HP_0003124,Hypercholesterolemia,Elevated serum cholesterol
http://purl.obolibrary.org/obo/HP_0040190,White scaling skin,White scaling skin
http://purl.obolibrary.org/obo/HP_0010259,Cone-shaped epiphyses of the middle phalanges of the hand,Cone-shaped end part of the middle hand bones
http://purl.obolibrary.org/obo/HP_0001000,Abnormality of skin pigmentation,Pigmentation anomaly
http://purl.obolibrary.org/obo/HP_0000340,Sloping forehead,Receding forehead
http://purl.obolibrary.org/obo/HP_0001787,Abnormal delivery,Delivery complication
http://purl.obolibrary.org/obo/HP_0003196,Short nose,Decreased length of nose
http://purl.obolibrary.org/obo/HP_0100225,Bracket epiphysis of the proximal phalanx of the 5th toe,Bracket shaped end part of the innermost bone of the little toe
http://purl.obolibrary.org/obo/HP_0007379,Neoplasm of the genitourinary tract,Genitourinary tract tumors
http://purl.obolibrary.org/obo/HP_0009787,Aplasia/Hypoplasia of the quadriceps,Absent/small quadriceps
http://purl.obolibrary.org/obo/HP_0040171,Decreased serum testosterone level,Low serum testosterone levels
http://purl.obolibrary.org/obo/HP_0005465,Facial hyperostosis,Overgrowth of facial skeleton
http://purl.obolibrary.org/obo/HP_0009340,Irregular epiphysis of the distal phalanx of the 3rd finger,Irregular end part of the outermost long bone of the middle finger
http://purl.obolibrary.org/obo/HP_0010097,Partial duplication of the distal phalanx of the hallux,Partial duplication of the outermost bone of big toe
http://purl.obolibrary.org/obo/HP_0009927,Aplasia of the nose,Absent nose
http://purl.obolibrary.org/obo/HP_0000274,Small face,Small facies
http://purl.obolibrary.org/obo/HP_0011072,Rootless teeth,Missing tooth root
http://purl.obolibrary.org/obo/HP_0003761,Calcinosis,Calcium buildup in soft tissues of body
http://purl.obolibrary.org/obo/HP_0100022,Abnormality of movement,Movement disorder
http://purl.obolibrary.org/obo/HP_0004881,Episodic hypoventilation,Episodic under breathing
http://purl.obolibrary.org/obo/HP_0100266,Synostosis of carpals/tarsals,Wrist bone/ankle bone fusions
http://purl.obolibrary.org/obo/HP_0100151,Irregular epiphysis of the middle phalanx of the 3rd toe,Irregular end part of the middle bone of the 3rd toe
http://purl.obolibrary.org/obo/HP_0001974,Leukocytosis,Elevated white blood count
http://purl.obolibrary.org/obo/HP_0009386,Fragmentation of the epiphyses of the 5th finger,Fragmentation of the end part of the little finger bones
http://purl.obolibrary.org/obo/HP_0500132,Hypovalinemia,Low blood valine concentration
http://purl.obolibrary.org/obo/HP_0001001,Abnormality of subcutaneous fat tissue,Abnormality of fatty tissue below the skin
http://purl.obolibrary.org/obo/HP_0001609,Hoarse voice,Hoarseness
http://purl.obolibrary.org/obo/HP_0001073,Cigarette-paper scars,'cigarette paper scarring'
http://purl.obolibrary.org/obo/HP_0500011,Moon facies,Puffy face
http://purl.obolibrary.org/obo/HP_0010784,Uterine neoplasm,Uterine tumor
http://purl.obolibrary.org/obo/HP_0012292,Fusion of gums,Partial fusion of the gums
http://purl.obolibrary.org/obo/HP_0000234,Abnormality of the head,Abnormal head
http://purl.obolibrary.org/obo/HP_0010393,Abnormality of the middle phalanx of the 5th toe,Abnormality of the middle bone of the pinky toe
http://purl.obolibrary.org/obo/HP_0003296,Hyperthreoninuria,High urine threonine levels
http://purl.obolibrary.org/obo/HP_0003396,Syringomyelia,Fluid-filled cyst in spinal cord
http://purl.obolibrary.org/obo/HP_0000434,Nasal mucosa telangiectasia,Spider veins of mucous membrane of nose
http://purl.obolibrary.org/obo/HP_0002136,Broad-based gait,Wide based walk
http://purl.obolibrary.org/obo/HP_0001892,Abnormal bleeding,Bleeding tendency
http://purl.obolibrary.org/obo/HP_0000437,Depressed nasal tip,Caved in nasal tip
http://purl.obolibrary.org/obo/HP_0005028,Widened proximal tibial metaphyses,Wide innermost wide portion of shankbone bone
http://purl.obolibrary.org/obo/HP_0010692,2-5 finger syndactyly,Webbed 2nd-5th fingers
http://purl.obolibrary.org/obo/HP_0100374,Aplasia/Hypoplasia of the middle phalanx of the 5th toe,Absent/underdeveloped middle bone of pinky toe
http://purl.obolibrary.org/obo/HP_0100186,Ivory epiphysis of the middle phalanx of the 4th toe,Increased bone density of end part of the middle bone of the 4th toe
http://purl.obolibrary.org/obo/HP_0009649,Aplasia of the distal phalanx of the thumb,Absence of the outermost bone of the thumb
http://purl.obolibrary.org/obo/HP_0001621,Weak voice,Soft voice
