iri,iri label,pathological entity,pathological entity label
,,NCIT:C4024,"Esophageal Squamous Cell Carcinoma"
,,NCIT:C95610,"Esophageal Well Differentiated Squamous Cell Carcinoma"
,,NCIT:C3407,"Essential Thrombocythemia"
,,NCIT:C4817,"Ewing Sarcoma"
,,NCIT:C4835,"Ewing Sarcoma of Bone"
,,NCIT:C27291,"Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor"
,,NCIT:C35871,"Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor of Bone"
,,NCIT:C7453,"Exocervical Carcinoma"
,,NCIT:C6081,"External Ear Carcinoma"
,,NCIT:C49166,"Extracardiac Rhabdomyoma"
,,NCIT:C5437,"Extracranial Neuroblastoma"
,,NCIT:C7136,"Extracutaneous Mastocytoma"
,,NCIT:C3918,"Extragonadal Germ Cell Tumor"
,,NCIT:C7975,"Extrahepatic Bile Duct Adenocarcinoma"
,,NCIT:C3860,"Extrahepatic Bile Duct Carcinoma"
,,NCIT:C3898,"Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue"
,,NCIT:C7848,"Extraocular Retinoblastoma"
,,NCIT:C4002,"Extraosseous Plasmacytoma"
,,NCIT:C6586,"Extrarenal Rhabdoid Tumor"
,,NCIT:C7135,"Extraskeletal Ewing Sarcoma"
,,NCIT:C27293,"Extraskeletal Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor"
,,NCIT:C8810,"Extraskeletal Osteosarcoma"
,,NCIT:C92555,"Extraventricular Neurocytoma"
,,NCIT:C6079,"Eye Carcinoma"
,,NCIT:C6078,"Eyelid Carcinoma"
,,NCIT:C6265,"Fallopian Tube Adenocarcinoma"
,,NCIT:C3867,"Fallopian Tube Carcinoma"
,,NCIT:C6282,"Fallopian Tube Squamous Cell Carcinoma"
,,NCIT:C115225,"Familial Neuroblastoma"
,,NCIT:C118829,"Familial Nonmedullary Thyroid Gland Carcinoma"
,,NCIT:C115212,"Familial Waldenstrom Macroglobulinemia"
,,NCIT:C2918,"Female Breast Carcinoma"
,,NCIT:C45509,"Fetal Lung Adenocarcinoma"
,,NCIT:C4322,"Fibrillary Astrocytoma"
,,NCIT:C3744,"Fibroadenoma"
,,NCIT:C4020,"Fibroblastic Osteosarcoma"
,,NCIT:C81758,"Fibroblastic Reticular Cell Tumor"
,,NCIT:C4131,"Fibrolamellar Carcinoma"
,,NCIT:C3043,"Fibrosarcoma"
,,NCIT:C4330,"Fibrous Meningioma"
,,NCIT:C65193,"Flat Adenoma"
,,NCIT:C4041,"Floor of Mouth Squamous Cell Carcinoma"
,,NCIT:C9281,"Follicular Dendritic Cell Sarcoma"
,,NCIT:C3209,"Follicular Lymphoma"
,,NCIT:C80375,"Follicular Variant Peripheral T-Cell Lymphoma"
,,NCIT:C121152,"FSH-Producing Pituitary Gland Adenoma"
,,NCIT:C8388,"Functioning Pituitary Gland Adenoma"
,,NCIT:C123736,"Fusion-Negative Rhabdomyosarcoma"
,,NCIT:C123735,"Fusion-Positive Rhabdomyosarcoma"
,,NCIT:C9166,"Gallbladder Adenocarcinoma"
,,NCIT:C7720,"Gallbladder Adenoma"
,,NCIT:C7356,"Gallbladder Adenosquamous Carcinoma"
,,NCIT:C3844,"Gallbladder Carcinoma"
,,NCIT:C5743,"Gallbladder Papillary Neoplasm with an Associated Invasive Carcinoma"
,,NCIT:C6763,"Gallbladder Small Cell Neuroendocrine Carcinoma"
,,NCIT:C9170,"Gallbladder Squamous Cell Carcinoma"
,,NCIT:C3083,"Gamma Heavy Chain Disease"
,,NCIT:C6934,"Gangliocytoma"
,,NCIT:C3788,"Ganglioglioma"
,,NCIT:C3790,"Ganglioneuroblastoma"
,,NCIT:C42057,""Ganglioneuroblastoma, Intermixed""
,,NCIT:C42058,""Ganglioneuroblastoma, Nodular""
,,NCIT:C3049,"Ganglioneuroma"
,,NCIT:C4004,"Gastric Adenocarcinoma"
,,NCIT:C7699,"Gastric Adenoma"
,,NCIT:C5474,"Gastric Adenosquamous Carcinoma"
,,NCIT:C4911,"Gastric Carcinoma"
,,NCIT:C9157,"Gastric Intestinal Type Adenocarcinoma"
,,NCIT:C95763,"Gastric Intramucosal Adenocarcinoma"
,,NCIT:C5266,"Gastric Mucosa-Associated Lymphoid Tissue Lymphoma"
,,NCIT:C6764,"Gastric Small Cell Neuroendocrine Carcinoma"
,,NCIT:C5475,"Gastric Squamous Cell Carcinoma"
,,NCIT:C3868,"Gastrointestinal Stromal Tumor"
,,NCIT:C54000,"Gastrointestinal Stromal Tumor of Uncertain Malignant Potential"
,,NCIT:C4321,"Gemistocytic Astrocytoma"
,,NCIT:C3708,"Germ Cell Tumor"
,,NCIT:C36080,"Germinal Center B-Cell-Like Diffuse Large B-Cell Lymphoma"
,,NCIT:C3753,"Germinoma"
,,NCIT:C4646,"Gestational Choriocarcinoma"
,,NCIT:C4699,"Gestational Trophoblastic Tumor"
,,NCIT:C3779,"Giant Cell Carcinoma"
,,NCIT:C4700,"Giant Cell Fibroblastoma"
,,NCIT:C4325,"Giant Cell Glioblastoma"
,,NCIT:C3055,"Giant Cell Tumor"
,,NCIT:C49107,"Giant Cell Tumor of Soft Tissue"
,,NCIT:C4273,"Giant Fibroadenoma"
,,NCIT:C6560,"Glandular Malignant Peripheral Nerve Sheath Tumor"
,,NCIT:C3058,"Glioblastoma"
,,NCIT:C111691,"Glioblastoma by Gene Expression Profile"
,,NCIT:C5419,"Gliofibroma"
,,NCIT:C3059,"Glioma"
,,NCIT:C4318,"Gliomatosis Cerebri"
,,NCIT:C92550,"Glioneuronal Tumor with Neuropil-Like Islands"
,,NCIT:C3796,"Gliosarcoma"
,,NCIT:C3060,"Glomus Tumor"
,,NCIT:C8186,"Glottic Squamous Cell Carcinoma"
,,NCIT:C66776,"Gonadal Polyembryoma"
,,NCIT:C3754,"Gonadoblastoma"
,,NCIT:C45915,"Gonadotropin-Producing Pituitary Gland Adenoma"
,,NCIT:C9452,"Grade 1 Colon Adenocarcinoma"
,,NCIT:C9446,"Grade 1 Colorectal Adenocarcinoma"
,,NCIT:C3465,"Grade 1 Follicular Lymphoma"
,,NCIT:C9451,"Grade 1 Rectal Adenocarcinoma"
,,NCIT:C9453,"Grade 2 Colon Adenocarcinoma"
,,NCIT:C9447,"Grade 2 Colorectal Adenocarcinoma"
,,NCIT:C8968,"Grade 2 Follicular Lymphoma"
,,NCIT:C9450,"Grade 2 Rectal Adenocarcinoma"
,,NCIT:C9454,"Grade 3 Colon Adenocarcinoma"
,,NCIT:C9448,"Grade 3 Colorectal Adenocarcinoma"
,,NCIT:C3460,"Grade 3 Follicular Lymphoma"
,,NCIT:C9449,"Grade 3 Rectal Adenocarcinoma"
,,NCIT:C7931,"Grade I Lymphomatoid Granulomatosis"
,,NCIT:C38936,"Grade I Meningioma"
,,NCIT:C7932,"Grade II Lymphomatoid Granulomatosis"
,,NCIT:C38937,"Grade II Meningioma"
,,NCIT:C7933,"Grade III Lymphomatoid Granulomatosis"
,,NCIT:C38938,"Grade III Meningioma"
,,NCIT:C3474,"Granular Cell Tumor"
,,NCIT:C35815,"Granulocytic Sarcoma"
,,NCIT:C7461,"Growth Hormone-Producing Pituitary Gland Adenoma"
,,NCIT:C5963,"Growth Hormone-Producing Pituitary Gland Carcinoma"
,,NCIT:C7402,"Hairy Cell Leukemia"
,,NCIT:C7401,"Hairy Cell Leukemia Variant"
,,NCIT:C7602,"Halo Nevus"
,,NCIT:C6920,"Hand-Schuller-Christian Disease"
,,NCIT:C35850,"Head and Neck Carcinoma"
,,NCIT:C34447,"Head and Neck Squamous Cell Carcinoma"
,,NCIT:C3082,"Heavy Chain Disease"
,,NCIT:C27763,"Helicobacter Pylori-Associated Gastric Mucosa-Associated Lymphoid Tissue Lymphoma"
,,NCIT:C27765,"Helicobacter Pylori-Related Gastric Adenocarcinoma"
,,NCIT:C3801,"Hemangioblastoma"
,,NCIT:C3084,"Hemangioendothelioma"
,,NCIT:C3085,"Hemangioma"
,,NCIT:C27686,"Hepatitis Virus-Related Hepatocellular Carcinoma"
,,NCIT:C3728,"Hepatoblastoma"
,,NCIT:C3758,"Hepatocellular Adenoma"
,,NCIT:C3099,"Hepatocellular Carcinoma"
,,NCIT:C8459,"Hepatosplenic T-Cell Lymphoma"
,,NCIT:C53556,"HER2 Positive Breast Carcinoma"
,,NCIT:C4503,"Hereditary Breast Carcinoma"
,,NCIT:C36260,"Hereditary Clear Cell Renal Cell Carcinoma"
,,NCIT:C43295,"Hereditary Diffuse Gastric Adenocarcinoma"
,,NCIT:C40455,"Hereditary Fallopian Tube Carcinoma"
,,NCIT:C36102,"Hereditary Ovarian Carcinoma"
,,NCIT:C43298,"Hereditary Pancreatic Carcinoma"
,,NCIT:C9222,"Hereditary Papillary Renal Cell Carcinoma"
,,NCIT:C103817,"Hereditary Prostate Carcinoma"
,,NCIT:C8495,"Hereditary Retinoblastoma"
,,NCIT:C46099,"Hereditary Thyroid Gland Medullary Carcinoma"
,,NCIT:C8496,"Hereditary Wilms Tumor"
,,NCIT:C54664,"Hidradenocarcinoma"
,,NCIT:C7563,"Hidradenoma"
,,NCIT:C3760,"Hidrocystoma"
,,NCIT:C96421,"High Grade Appendix Mucinous Adenocarcinoma"
,,NCIT:C102897,"High Grade Astrocytic Tumor"
,,NCIT:C105555,"High Grade Ovarian Serous Adenocarcinoma"
,,NCIT:C36077,"Hilar Cholangiocarcinoma"
,,NCIT:C9294,"Histiocytic and Dendritic Cell Neoplasm"
,,NCIT:C27349,"Histiocytic Sarcoma"
,,NCIT:C9357,"Hodgkin Lymphoma"
,,NCIT:C27684,"Human Papillomavirus-Related Adenocarcinoma"
,,NCIT:C27676,"Human Papillomavirus-Related Cervical Squamous Cell Carcinoma"
,,NCIT:C27679,"Human Papillomavirus-Related Vulvar Squamous Cell Carcinoma"
,,NCIT:C121686,"Hybrid Nerve Sheath Tumor"
,,NCIT:C3110,"Hydatidiform Mole"
,,NCIT:C45327,"Hydroa Vacciniforme-Like Lymphoma"
,,NCIT:C80344,"Hyperdiploid B Acute Lymphoblastic Leukemia"
,,NCIT:C122686,"Hypocellular Myelodysplastic Syndrome"
,,NCIT:C80345,"Hypodiploid B Acute Lymphoblastic Leukemia"
,,NCIT:C4043,"Hypopharyngeal Squamous Cell Carcinoma"
,,NCIT:C4286,"Immature Teratoma"
,,NCIT:C3461,"Immunoblastic Lymphoma"
,,NCIT:C81767,"Indeterminate Dendritic Cell Tumor"
,,NCIT:C122617,"Infant Acute Lymphoblastic Leukemia with MLL Rearrangement"
,,NCIT:C122621,"Infant Acute Lymphoblastic Leukemia without MLL Gene Rearrangement"
,,NCIT:C122603,"Infant Leukemia"
,,NCIT:C4244,"Infantile Fibrosarcoma"
,,NCIT:C27885,"Infiltrating Bladder Urothelial Carcinoma"
,,NCIT:C8577,"Infiltrating Cervical Carcinoma"
,,NCIT:C6186,""Infiltrating Renal Pelvis Urothelial Carcinoma, Sarcomatoid Variant""
,,NCIT:C4001,"Inflammatory Breast Carcinoma"
,,NCIT:C27495,"Inflammatory Leiomyosarcoma"
,,NCIT:C6481,"Inflammatory Myofibroblastic Tumor"
,,NCIT:C9282,"Interdigitating Dendritic Cell Sarcoma"
,,NCIT:C4126,"Intestinal Type Adenocarcinoma"
,,NCIT:C4271,"Intracanalicular Fibroadenoma"
,,NCIT:C3804,"Intradermal Nevus"
,,NCIT:C4190,"Intraductal Papillary Breast Carcinoma"
,,NCIT:C96947,"Intrahepatic Bile Duct Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma"
,,NCIT:C35417,"Intrahepatic Cholangiocarcinoma"
,,NCIT:C95397,"Intramucosal Adenocarcinoma"
,,NCIT:C7846,"Intraocular Retinoblastoma"
,,NCIT:C4342,"Intravascular Large B-Cell Lymphoma"
,,NCIT:C9480,"Invasive Carcinoma"
,,NCIT:C4194,""Invasive Ductal Carcinoma, Not Otherwise Specified""
,,NCIT:C6985,"Invasive Hydatidiform Mole"
,,NCIT:C7950,"Invasive Lobular Breast Carcinoma"
,,NCIT:C7904,"Invasive Malignant Thymoma"
,,NCIT:C36085,"Invasive Papillary Breast Carcinoma"
,,NCIT:C4231,"Junctional Nevus"
,,NCIT:C4276,"Juvenile Fibroadenoma"
,,NCIT:C9233,"Juvenile Myelomonocytic Leukemia"
,,NCIT:C9087,"Kaposi Sarcoma"
,,NCIT:C27510,"Kaposiform Hemangioendothelioma"
,,NCIT:C3146,"Keratoacanthoma"
,,NCIT:C9384,"Kidney Carcinoma"
,,NCIT:C7572,"Kidney Medullary Carcinoma"
,,NCIT:C4526,"Kidney Oncocytoma"
,,NCIT:C40407,"Kidney Wilms Tumor"
,,NCIT:C9363,"Labia Majora Carcinoma"
,,NCIT:C9364,"Labia Minora Carcinoma"
,,NCIT:C6129,"Lacrimal Gland Carcinoma"
,,NCIT:C6804,"Lacrimal Gland Carcinoma ex Pleomorphic Adenoma"
,,NCIT:C3107,"Langerhans Cell Histiocytosis"
,,NCIT:C6921,"Langerhans Cell Sarcoma"
,,NCIT:C3780,"Large Cell Carcinoma"
,,NCIT:C4450,"Large Cell Lung Carcinoma"
,,NCIT:C6876,"Large Cell Lung Carcinoma with Rhabdoid Phenotype"
,,NCIT:C4451,""Large Cell Lung Carcinoma, Clear Cell Variant""
,,NCIT:C5672,"Large Cell Lung Neuroendocrine Carcinoma"
,,NCIT:C6875,"Large Cell Neuroendocrine Carcinoma"
,,NCIT:C4044,"Laryngeal Squamous Cell Carcinoma"
,,NCIT:C3157,"Leiomyoma"
,,NCIT:C3158,"Leiomyosarcoma"
,,NCIT:C9151,"Lentigo Maligna Melanoma"
,,NCIT:C123160,"Lepidic Predominant Adenocarcinoma"
,,NCIT:C3160,"Letterer-Siwe Disease"
,,NCIT:C3161,"Leukemia"
,,NCIT:C121153,"LH-Producing Pituitary Gland Adenoma"
,,NCIT:C9315,"Lip and Oral Cavity Carcinoma"
,,NCIT:C42690,"Lip and Oral Cavity Squamous Cell Carcinoma"
,,NCIT:C8014,"Lip Basal Cell Carcinoma"
,,NCIT:C3490,"Lip Carcinoma"
,,NCIT:C4042,"Lip Squamous Cell Carcinoma"
,,NCIT:C27483,"Lipoblastoma"
,,NCIT:C3192,"Lipoma"
,,NCIT:C3193,"Lipomatosis"
,,NCIT:C3194,"Liposarcoma"
,,NCIT:C7927,"Liver and Intrahepatic Bile Duct Carcinoma"
,,NCIT:C96848,"Liver Carcinosarcoma"
,,NCIT:C3771,"Lobular Breast Carcinoma"
,,NCIT:C4018,"Lobular Breast Carcinoma In Situ"
,,NCIT:C42598,"Low Grade Appendix Mucinous Neoplasm"
,,NCIT:C116342,"Low Grade Astrocytic Tumor"
,,NCIT:C4263,"Low Grade Endometrioid Stromal Sarcoma"
,,NCIT:C105556,"Low Grade Ovarian Serous Adenocarcinoma"
,,NCIT:C8171,"Lower Gingival Squamous Cell Carcinoma"
,,NCIT:C53554,"Luminal A Breast Carcinoma"
,,NCIT:C53555,"Luminal B Breast Carcinoma"
,,NCIT:C3512,"Lung Adenocarcinoma"
,,NCIT:C65197,"Lung Adenocarcinoma with Mixed Bronchioloalveolar and Invasive Components"
,,NCIT:C5666,"Lung Adenoid Cystic Carcinoma"
,,NCIT:C4878,"Lung Carcinoma"
,,NCIT:C45543,"Lung Carcinosarcoma"
,,NCIT:C45516,"Lung Clear Cell Adenocarcinoma"
,,NCIT:C45545,"Lung Epithelial-Myoepithelial Carcinoma"
,,NCIT:C4452,"Lung Giant Cell Carcinoma"
,,NCIT:C45512,"Lung Mucinous Adenocarcinoma"
,,NCIT:C45604,"Lung Mucinous Cystadenoma"
,,NCIT:C45544,"Lung Mucoepidermoid Carcinoma"
,,NCIT:C5664,"Lung Mucous Gland Adenoma"
,,NCIT:C3494,"Lung Papillary Adenoma"
,,NCIT:C45603,"Lung Pleomorphic Adenoma"
,,NCIT:C45542,"Lung Pleomorphic Carcinoma"
,,NCIT:C45540,"Lung Sarcomatoid Carcinoma"
,,NCIT:C45514,"Lung Signet Ring Cell Carcinoma"
,,NCIT:C45541,"Lung Spindle Cell Carcinoma"
,,NCIT:C8965,"Lymphangioma"
,,NCIT:C3205,"Lymphangiosarcoma"
,,NCIT:C9360,"Lymphoblastic Lymphoma"
,,NCIT:C9283,"Lymphocyte-Depleted Classical Hodgkin Lymphoma"
,,NCIT:C6913,"Lymphocyte-Rich Classical Hodgkin Lymphoma"
,,NCIT:C7205,"Lymphoepithelioid Variant Peripheral T-Cell Lymphoma"
,,NCIT:C45519,"Lymphoepithelioma-Like Lung Carcinoma"
,,NCIT:C3208,"Lymphoma"
,,NCIT:C7930,"Lymphomatoid Granulomatosis"
,,NCIT:C3721,"Lymphomatoid Papulosis"
,,NCIT:C4720,"Lymphoplasmacyte-Rich Meningioma"
,,NCIT:C3212,"Lymphoplasmacytic Lymphoma"
,,NCIT:C3862,"Male Breast Carcinoma"
,,NCIT:C4220,"Malignant Adrenal Gland Pheochromocytoma"
,,NCIT:C4504,"Malignant Breast Phyllodes Tumor"
,,NCIT:C8881,"Malignant Extragonadal Germ Cell Tumor"
,,NCIT:C65188,"Malignant Gastrinoma"
,,NCIT:C53999,"Malignant Gastrointestinal Stromal Tumor"
,,NCIT:C4925,"Malignant Germ Cell Tumor"
,,NCIT:C4822,"Malignant Glioma"
,,NCIT:C4221,"Malignant Glomus Tumor"
,,NCIT:C4336,"Malignant Granular Cell Tumor"
,,NCIT:C4748,"Malignant Melanotic Peripheral Nerve Sheath Tumor"
,,NCIT:C4456,"Malignant Mesothelioma"
,,NCIT:C37265,"Malignant Mixed Epithelial Stromal Tumor of the Kidney"
,,NCIT:C8975,"Malignant Mixed Mesodermal (Mullerian) Tumor"
,,NCIT:C121933,"Malignant Osteoclastic Giant Cell-Rich Tumor of Bone"
,,NCIT:C4514,"Malignant Ovarian Germ Cell Tumor"
,,NCIT:C3798,"Malignant Peripheral Nerve Sheath Tumor"
,,NCIT:C92647,"Malignant Peripheral Nerve Sheath Tumor with Mesenchymal Differentiation"
,,NCIT:C4275,"Malignant Phyllodes Tumor"
,,NCIT:C5531,"Malignant Prostate Phyllodes Tumor"
,,NCIT:C6894,"Malignant Solitary Fibrous Tumor"
,,NCIT:C65190,"Malignant Somatostatinoma"
,,NCIT:C6535,"Malignant Tenosynovial Giant Cell Tumor"
,,NCIT:C9063,"Malignant Testicular Germ Cell Tumor"
,,NCIT:C7612,"Malignant Thymoma"
,,NCIT:C4335,"Malignant Triton Tumor"
,,NCIT:C7999,"Malignant Type A Thymoma"
,,NCIT:C6886,"Malignant Type AB Thymoma"
,,NCIT:C7996,"Malignant Type B1 Thymoma"
,,NCIT:C6889,"Malignant Type B2 Thymoma"
,,NCIT:C65189,"Malignant Vipoma"
,,NCIT:C45928,"Mammosomatotroph Pituitary Gland Adenoma"
,,NCIT:C4337,"Mantle Cell Lymphoma"
,,NCIT:C4341,"Marginal Zone Lymphoma"
,,NCIT:C3169,"Mast Cell Leukemia"
,,NCIT:C9348,"Mast Cell Sarcoma"
,,NCIT:C3468,"Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma"
,,NCIT:C9015,"Mature Teratoma"
,,NCIT:C9280,"Mediastinal (Thymic) Large B-Cell Lymphoma"
,,NCIT:C9119,"Medullary Breast Carcinoma"
,,NCIT:C4327,"Medulloepithelioma"
,,NCIT:C3224,"Melanoma"
,,NCIT:C6910,"Melanotic Psammomatous Malignant Peripheral Nerve Sheath Tumor"
,,NCIT:C3230,"Meningioma"
,,NCIT:C9231,"Merkel Cell Carcinoma"
,,NCIT:C3737,"Mesenchymal Chondrosarcoma"
,,NCIT:C111695,"Mesenchymal Glioblastoma"
,,NCIT:C3234,"Mesothelioma"
,,NCIT:C38157,"Metachronous Osteosarcoma"
,,NCIT:C38158,"Metachronous Wilms Tumor"
,,NCIT:C6907,"Metaplastic Meningioma"
,,NCIT:C4721,"Microcystic Meningioma"
,,NCIT:C27757,"Microgranular Acute Promyelocytic Leukemia"
,,NCIT:C6089,"Middle Ear Carcinoma"
,,NCIT:C5948,"Minor Salivary Gland Adenocarcinoma"
,,NCIT:C5936,"Minor Salivary Gland Adenoid Cystic Carcinoma"
,,NCIT:C5957,"Minor Salivary Gland Carcinoma"
,,NCIT:C5976,"Minor Salivary Gland Carcinoma ex Pleomorphic Adenoma"
,,NCIT:C5953,"Minor Salivary Gland Mucoepidermoid Carcinoma"
,,NCIT:C5956,"Minor Salivary Gland Small Cell Carcinoma"
,,NCIT:C5959,"Minor Salivary Gland Squamous Cell Carcinoma"
,,NCIT:C5954,"Minor Salivary Gland Undifferentiated Carcinoma"
,,NCIT:C95458,"Mixed Acinar-Ductal Carcinoma of the Pancreas"
,,NCIT:C8271,"Mixed Astrocytoma-Ependymoma"
,,NCIT:C8272,"Mixed Astrocytoma-Ependymoma-Oligodendroglioma"
,,NCIT:C9149,"Mixed Cell Type Kidney Wilms Tumor"
,,NCIT:C3517,"Mixed Cellularity Classical Hodgkin Lymphoma"
,,NCIT:C97058,"Mixed Congenital Mesoblastic Nephroma"
,,NCIT:C66756,"Mixed Epithelioid and Spindle Cell Melanoma"
,,NCIT:C4290,"Mixed Germ Cell Tumor"
,,NCIT:C5241,"Mixed Germ Cell-Sex Cord-Stromal Tumor"
,,NCIT:C3903,"Mixed Glioma"
,,NCIT:C4253,"Mixed Liposarcoma"
,,NCIT:C5160,"Mixed Lobular and Ductal Breast Carcinoma"
,,NCIT:C82179,"Mixed Phenotype Acute Leukemia"
,,NCIT:C82192,"Mixed Phenotype Acute Leukemia with t(9;22)(q34;q11.2); BCR-ABL1"
,,NCIT:C82203,"Mixed Phenotype Acute Leukemia with t(v;11q23); MLL Rearranged"
,,NCIT:C82212,""Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified""
,,NCIT:C82213,""Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified""
,,NCIT:C45927,"Mixed Somatotroph-Lactotroph Pituitary Gland Adenoma"
,,NCIT:C4474,"Mixed Tumor of the Skin (Chondroid Syringoma)"
,,NCIT:C27906,"Moderately Differentiated Prostate Adenocarcinoma"
,,NCIT:C35816,"Monoblastic Sarcoma"
,,NCIT:C96058,"Monomorphic CD56+ Intestinal T-Cell Lymphoma"
,,NCIT:C7233,"Monomorphic Post-Transplant Lymphoproliferative Disorder"
,,NCIT:C3892,"Mu Heavy Chain Disease"
,,NCIT:C26712,"Mucinous Adenocarcinoma"
,,NCIT:C9131,"Mucinous Breast Carcinoma"
,,NCIT:C5248,"Mucinous Gastric Adenocarcinoma"
,,NCIT:C39807,"Mucinous Tubular and Spindle Cell Carcinoma of the Kidney"
,,NCIT:C27379,"Mucin-Producing Adenocarcinoma"
,,NCIT:C3765,"Multicystic Mesothelioma"
,,NCIT:C3246,"Mycosis Fungoides"
,,NCIT:C9265,"Mycosis Fungoides and Sezary Syndrome"
,,NCIT:C3247,"Myelodysplastic Syndrome"
,,NCIT:C97310,"Myelodysplastic Syndrome with Gene Mutation"
,,NCIT:C6867,"Myelodysplastic Syndrome with Isolated del(5q)"
,,NCIT:C8648,""Myelodysplastic Syndrome, Unclassifiable""
,,NCIT:C27262,"Myelodysplastic/Myeloproliferative Neoplasm"
,,NCIT:C27780,""Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable""
,,NCIT:C84270,""Myeloid and Lymphoid Neoplasms with Eosinophilia and Abnormalities of PDGFRA, PDGFRB, or FGFR1""
,,NCIT:C84277,"Myeloid and Lymphoid Neoplasms with FGFR1 Rearrangement"
,,NCIT:C84275,"Myeloid and Lymphoid Neoplasms with PDGFRA Rearrangement"
,,NCIT:C43223,"Myeloid Leukemia Associated with Down Syndrome"
,,NCIT:C84276,"Myeloid Neoplasms with PDGFRB Rearrangement"
,,NCIT:C82338,"Myeloid Proliferations Related to Down Syndrome"
,,NCIT:C3520,"Myeloid Sarcoma"
,,NCIT:C4345,"Myeloproliferative Neoplasm"
,,NCIT:C27350,""Myeloproliferative Neoplasm, Unclassifiable""
,,NCIT:C4303,"Myxoid Chondrosarcoma"
,,NCIT:C3701,"Myxoid Leiomyosarcoma"
,,NCIT:C27781,"Myxoid Liposarcoma"
,,NCIT:C3697,"Myxopapillary Ependymoma"
,,NCIT:C68611,"Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma"
,,NCIT:C8192,"Nasal Cavity Squamous Cell Carcinoma"
,,NCIT:C4684,"Nasal Type Extranodal NK/T-Cell Lymphoma"
,,NCIT:C7992,"Nasopharyngeal Keratinizing Squamous Cell Carcinoma"
,,NCIT:C6077,"Neck Carcinoma"
,,NCIT:C7232,"Neoplastic Post-Transplant Lymphoproliferative Disorder"
,,NCIT:C111693,"Neural Glioblastoma"
,,NCIT:C3270,"Neuroblastoma"
,,NCIT:C3773,"Neuroendocrine Carcinoma"
,,NCIT:C3809,"Neuroendocrine Neoplasm"
,,NCIT:C3272,"Neurofibroma"
,,NCIT:C7018,"Neurothekeoma"
,,NCIT:C4192,"Nipple Adenoma"
,,NCIT:C28432,"Nipple Carcinoma"
,,NCIT:C8863,"Nodal Marginal Zone Lymphoma"
,,NCIT:C7258,"Nodular Lymphocyte Predominant Hodgkin Lymphoma"
,,NCIT:C4225,"Nodular Melanoma"
,,NCIT:C3518,"Nodular Sclerosis Classical Hodgkin Lymphoma"
,,NCIT:C6951,"Nonanaplastic Kidney Wilms Tumor"
,,NCIT:C8711,"Non-Cutaneous Melanoma"
,,NCIT:C4348,"Non-Functioning Pituitary Gland Adenoma"
,,NCIT:C39991,"Non-Gestational Ovarian Choriocarcinoma"
,,NCIT:C36261,"Non-Hereditary Clear Cell Renal Cell Carcinoma"
,,NCIT:C3211,"Non-Hodgkin Lymphoma"
,,NCIT:C9080,"Noninvasive Malignant Thymoma"
,,NCIT:C4734,"Non-Secretory Plasma Cell Myeloma"
,,NCIT:C2926,"Non-Small Cell Lung Carcinoma"
,,NCIT:C53557,"Normal Breast-Like Subtype of Breast Carcinoma"
,,NCIT:C45924,"Null Cell Pituitary Gland Adenoma"
,,NCIT:C45716,"NUT Midline Carcinoma"
,,NCIT:C35689,"Ocular Adnexal Mucosa-Associated Lymphoid Tissue Lymphoma"
,,NCIT:C3789,"Olfactory Neuroblastoma"
,,NCIT:C4050,"Oligoastrocytoma"
,,NCIT:C6960,"Oligodendroglial Tumor"
,,NCIT:C3288,"Oligodendroglioma"
,,NCIT:C8990,"Oral Cavity Carcinoma"
,,NCIT:C4833,"Oral Cavity Squamous Cell Carcinoma"
,,NCIT:C8181,"Oropharyngeal Squamous Cell Carcinoma"
,,NCIT:C53953,"Osteoblastic Osteosarcoma"
,,NCIT:C3294,"Osteoblastoma"
,,NCIT:C3738,"Osteoclastic Giant Cell-Rich Tumor of Bone"
,,NCIT:C3297,"Osteoid Osteoma"
,,NCIT:C3296,"Osteoma"
,,NCIT:C9145,"Osteosarcoma"
,,NCIT:C6469,"Osteosarcoma Arising in Paget Disease of Bone"
,,NCIT:C7765,"Osteosclerotic Plasma Cell Myeloma"
,,NCIT:C7700,"Ovarian Adenocarcinoma"
,,NCIT:C4908,"Ovarian Carcinoma"
,,NCIT:C40078,"Ovarian Clear Cell Adenocarcinoma"
,,NCIT:C5228,"Ovarian Cystadenocarcinoma"
,,NCIT:C7979,"Ovarian Endometrioid Adenocarcinoma"
,,NCIT:C3873,"Ovarian Germ Cell Tumor"
,,NCIT:C5243,"Ovarian Mucinous Adenocarcinoma"
,,NCIT:C4512,"Ovarian Mucinous Cystadenoma"
,,NCIT:C7550,"Ovarian Serous Adenocarcinoma"
,,NCIT:C4511,"Ovarian Serous Cystadenoma"
,,NCIT:C27390,"Ovarian Small Cell Carcinoma"
,,NCIT:C40093,"Ovarian Squamous Cell Carcinoma"
