Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C7266	Basaloid Large Cell Lung Carcinoma		"A morphologic variant of large cell lung carcinoma characterized by the presence of a solid nodular or anastomotic trabecular growth pattern, peripheral palisading, and comedo type necrosis."	Malignant
C80291	"B-Cell Lymphoma, Unclassifiable, with Features Intermediate between Diffuse Large B-Cell Lymphoma and Burkitt Lymphoma"		An aggressive lymphoma with morphologic and molecular genetic features of both diffuse large B-cell lymphoma and Burkitt lymphoma.	Malignant
C37869	"B-Cell Lymphoma, Unclassifiable, with Features Intermediate between Diffuse Large B-Cell Lymphoma and Classical Hodgkin Lymphoma"	Gray Zone Lymphoma|Hodgkin-Like Anaplastic Large Cell Lymphoma|Large B-Cell Lymphoma with Hodgkin Features	"A group of lymphomas displaying molecular, morphologic, immunophenotypic, and clinical overlap between classical Hodgkin lymphoma and diffuse large B-cell lymphoma.  This term particularly applies to mediastinal lymphomas with overlapping features of mediastinal (thymic) large B-cell lymphoma and classical Hodgkin lymphoma."	Malignant
C3457	B-Cell Non-Hodgkin Lymphoma	B-Cell Non Hodgkin's Lymphoma|B-Cell Non-Hodgkin's Lymphoma|Lymphomas Non-Hodgkin's B-Cell|Non-Hodgkin's B-Cell Lymphoma|Non-Hodgkin's Lymphoma B-Cell	"The most common type of non-Hodgkin lymphoma.  It includes the most frequently seen morphologic variants which are: diffuse large B-cell lymphoma, follicular lymphoma, small lymphocytic lymphoma and marginal zone B-cell lymphoma. -- 2003"	Malignant
C7182	B-Cell Proliferation of Uncertain Malignant Potential			Undetermined
C4753	B-Cell Prolymphocytic Leukemia	B Prolymphocytic Leukemia|B-Cell Prolymphocytic Leukemia	"A malignant B-cell lymphoproliferative process affecting the blood, bone marrow, and spleen.  The B-prolymphocytes are medium-sized, round lymphoid cells with prominent nucleoli.  The B-prolymphocytes must exceed 55% of lymphoid cells in the blood.  Cases of transformed chronic lymphocytic leukemia (CLL) and CLL with increased prolymphocytes are excluded.  The prognosis is poor.  (WHO, 2001)"	Malignant
C48305	Benign Adrenal Gland Pheochromocytoma		"A sporadic or familial pheochromocytoma that is confined to the adrenal gland and does not have any metastatic potential.  The majority of cases are sporadic, and usually unilateral.  Familial cases are usually bilateral."	Benign
C5196	Benign Breast Phyllodes Tumor	Benign Phyllodes Neoplasm of Breast|Benign Phyllodes Neoplasm of the Breast|Benign Phyllodes Tumor of Breast|Benign Phyllodes Tumor of the Breast|Breast Benign Phyllodes Neoplasm	"A usually unilateral, benign and well circumscribed biphasic neoplasm that arises from the breast.  It usually affects middle-aged women.  It is characterized by the presence of a double layer of epithelial cells that are arranged in clefts, surrounded by a cellular, monomorphic spindle cell mesenchymal component.  Mitoses are rare.  Necrotic changes may be present in large tumors."	Benign
C6751	Benign Extragonadal Germ Cell Tumor	Benign Extragonadal Germ Cell Neoplasm		Benign
C3739	Benign Fibrous Histiocytoma	Fibrous Histiocytoma	"A benign neoplasm composed of fibroblastic spindle cells in a whorled storiform pattern.  It is characterized by the presence of foam cells, inflammatory cells, hemosiderin deposition and stromal hemorrhage."	Benign
C53998	Benign Gastrointestinal Stromal Tumor		"A gastrointestinal stromal tumor that is characterized by a maximum diameter equal or less than 5 cm (gastric localization), or equal or less than 2 cm (intestinal localization) and no more than 5 mitotic figures per 50 high power fields."	Benign
C6449	Benign Germ Cell Tumor	Benign Germ Cell Neoplasm|Benign Neoplasm of Germ Cell|Benign Neoplasm of the Germ Cell|Benign Tumor of Germ Cell|Benign Tumor of the Germ Cell	A germ cell tumor without metastatic potential.	Benign
C6748	Benign Glomus Tumor	Benign Glomus Neoplasm	A glomus tumor of small size characterized by the absence of nuclear atypia and mitotic activity.	Benign
C3252	Benign Granular Cell Tumor	Benign Granular Cell Myoblastoma|Benign Granular Cell Neoplasm|Myoblastoma	"A granular cell tumor that is confined to the site of origin, without metastatic potential."	Benign
C66807	Benign Intraocular Medulloepithelioma		"A rare, unilateral, benign embryonic neoplasm typically presenting as a cilliary body mass during childhood. It is composed of medullary epithelial cells."	Benign
C7571	Benign Melanocytic Skin Nevus	Benign Melanocytic Nevus of Skin|Benign Melanocytic Nevus of the Skin|Benign Melanocytic Nevus|Benign Mole|Benign Nevus of Skin|Benign Nevus of the Skin|Benign Skin Nevus	"A benign, circumscribed proliferation of melanocytes in the skin. Variants include the Spitz nevus, halo nevus, blue nevus, and balloon cell nevus."	Benign
C121901	Benign Notochordal Cell Tumor	Intraosseous Benign Notochordal Cell Tumor	"An intraosseous benign tumor of notochord origin that arises in the bones of the base of the skull, vertebral bodies, sacrum or coccyx.  It contains vacuolated tumor cells without atypia, but lacks myxoid matrix, necrosis, and lobular architecture, which are features that characterize its malignant counterpart, chordoma.  Most lesions are incidental findings."	Benign
C4516	Benign Ovarian Germ Cell Tumor	"Benign Germ Cell Neoplasm of Ovary|Benign Germ Cell Neoplasm of the Ovary|Benign Germ Cell Tumor of Ovary|Benign Germ Cell Tumor of the Ovary|Benign Ovarian Germ Cell Neoplasm|Benign Ovarian Germ Cell Neoplasms|Benign Ovarian Germ Cell Tumors|Germ Cell Neoplasms, Ovarian, Benign|Germ Cell Tumors, Ovarian, Benign|Ovarian Germ Cell Neoplasms, Benign|Ovarian Germ Cell Tumors, Benign"	A non-metastasizing germ cell tumor that arises from the ovary.  The vast majority of cases are benign dermoid cysts.	Benign
C4274	Benign Phyllodes Tumor	Benign Cystosarcoma Phyllodes|Benign Phyllodes Neoplasm	"A benign, circumscribed fibroepithelial neoplasm arising from the breast and rarely the prostate gland. It is characterized by the presence of epithelial structures which are arranged in clefts and by a hypercellular mesenchymal stroma which is organized in leaf-like structures. There is no evidence of cellular atypia or sarcomatous features."	Benign
C5532	Benign Prostate Phyllodes Tumor	Benign Phyllodes Neoplasm of Prostate|Benign Phyllodes Neoplasm of the Prostate|Benign Phyllodes Tumor of Prostate|Benign Phyllodes Tumor of the Prostate|Benign Prostate Phyllodes Neoplasm	A rare benign neoplasm that arises from the prostate gland and is characterized by the presence of hyperplastic glands and stroma that contains spindle-shaped cells.	Benign
C8287	Bilateral Breast Carcinoma	Bilateral Breast Cancer	Carcinoma that affects both breasts in a simultaneous or non-simultaneous manner.	Malignant
C8713	Bilateral Retinoblastoma		Retinoblastoma involving both eyes. This occurs in the majority of patients with the inherited variant. A minority of patient with bilateral retinoblastoma were found to have involvement of the pineal gland as well.	Malignant
C27813	Bile Duct Adenocarcinoma		"An adenocarcinoma that arises from the intrahepatic bile ducts, the hepatic ducts, or the extrahepatic bile ducts.  Adenocarcinomas that arise from the intrahepatic bile ducts or the hepatic ducts are called cholangiocarcinomas."	Malignant
C2942	Bile Duct Adenoma	Adenoma of Bile Duct|Adenoma of the Bile Duct|Cholangioadenoma|Cholangioma	"A benign, well-demarcated polypoid neoplasm arising from the bile duct epithelium. According to the growth pattern, it is classified as tubular, papillary, or tubulopapillary. Adenomas arising from the extrahepatic bile ducts usually produce symptoms related to biliary obstruction."	Benign
C27814	Bile Duct Carcinoma	Bile Duct Cancer	"A malignant tumor arising from the epithelium of the intrahepatic or extrahepatic bile duct.  Carcinomas that arise from the intrahepatic bile ducts and the hepatic ducts are called cholangiocarcinomas and are almost always adenocarcinomas.  Carcinomas that arise from the extrahepatic bile ducts are adenocarcinomas, adenosquamous carcinomas, squamous cell carcinomas, small cell carcinomas, or mucoepidermoid carcinomas."	Malignant
C4282	Biphasic Mesothelioma	Malignant Biphasic Mesothelioma|Malignant Mixed Mesothelioma|Mixed Mesothelioma	A malignant neoplasm arising from mesothelial cells in the pleura. It is characterized by the presence of neoplastic epithelioid cells and sarcomatoid features.	Malignant
C36054	Biphasic Pulmonary Blastoma	Classic Pulmonary Blastoma	A pulmonary blastoma composed of a mixture of irregular tubular structures and mesenchymal elements.	Malignant
C4032	Bladder Adenocarcinoma	Adenocarcinoma of Bladder|Adenocarcinoma of Urinary Bladder|Adenocarcinoma of the Bladder|Adenocarcinoma of the Urinary Bladder|Urinary Bladder Adenocarcinoma	A rare adenocarcinoma arising from metaplastic bladder epithelium.  It is frequently associated with long-standing local irritation.  The majority of cases originate from the trigone and the posterior wall of the bladder.	Malignant
C4912	Bladder Carcinoma	Bladder Cancer|Bladder Carcinoma|Cancer of Bladder|Cancer of Urinary Bladder|Cancer of the Bladder|Cancer of the Urinary Bladder|Carcinoma of Bladder|Carcinoma of Urinary Bladder|Carcinoma of the Bladder|Carcinoma of the Urinary Bladder|Urinary Bladder Cancer|Urinary Bladder Carcinoma	"A carcinoma arising from the bladder epithelium.  Approximately 90% of the bladder carcinomas are transitional cell carcinomas.  The remainder are squamous cell carcinomas, adenocarcinomas and small cell neuroendocrine carcinomas."	Malignant
C7383	Bladder Papillary Urothelial Carcinoma	Urothelial Papillary Carcinoma of the Bladder	An invasive or non-invasive papillary transitional cell carcinoma of the urinary bladder.  It is classified as low - or high-grade. -- 2003	Malignant
C4031	Bladder Squamous Cell Carcinoma	Bladder Epidermoid Carcinoma|Epidermoid Carcinoma of Bladder|Epidermoid Carcinoma of Urinary Bladder|Epidermoid Carcinoma of the Bladder|Epidermoid Carcinoma of the Urinary Bladder|Squamous Cell Carcinoma of Bladder|Squamous Cell Carcinoma of Urinary Bladder|Squamous Cell Carcinoma of the Bladder|Squamous Cell Carcinoma of the Urinary Bladder|Urinary Bladder Epidermoid Carcinoma|Urinary Bladder Squamous Cell Carcinoma	"A squamous cell carcinoma of the bladder arising from metaplastic epithelium.  It represents less than 10% of bladder carcinomas.  The exception is the Middle East along the Nile Valley, where it represents the most common form of carcinoma because of the endemic nature of schistosomiasis.  Bladder squamous cell carcinoma is often associated with long-standing chronic inflammation of the bladder and usually has a poor prognosis.  The diagnosis of squamous cell carcinoma of the bladder should be reserved for those tumors that are predominantly keratin forming."	Malignant
C39844	Bladder Urachal Urothelial Carcinoma			Malignant
C39851	Bladder Urothelial Carcinoma	Bladder Transitional Cell Carcinoma|Bladder Urothelial Carcinoma|Transitional Cell Carcinoma of the Urinary Bladder|Urinary Bladder Transitional Cell Carcinoma|Urinary Bladder Urothelial Carcinoma|Urothelial Carcinoma of the Urinary Bladder	The most common morphologic subtype of urinary bladder carcinoma (over 90% of cases).  It arises from the transitional epithelium.  It most often affects males in their sixth and seventh decades of life.  Hematuria is the most common symptom at presentation.  Pathologic stage is the strongest predictor of survival.	Malignant
C9110	"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive"	Blast Phase CML|Blast Phase Chronic Granulocytic Leukemia|Blast Phase Chronic Myelocytic Leukemia|Blast Phase Chronic Myelogenous Leukemia|Blast Phase Chronic Myeloid Leukemia|Blastic Phase CML|Blastic Phase Chronic Granulocytic Leukemia|Blastic Phase Chronic Myelocytic Leukemia|Blastic Phase Chronic Myelogenous Leukemia|Blastic Phase Chronic Myeloid Leukemia	"An advanced phase of chronic myelogenous leukemia.  It is characterized by: 1.  the presence of blasts in the peripheral blood or bone marrow that are at least 20% of the peripheral blood white cells or of the nucleated cells in the bone marrow respectively, or 2. an extramedullary proliferation of blasts, and/or 3. when there are large aggregates and clusters of blasts in the bone marrow biopsy specimen (adapted from WHO, 2001)."	Malignant
C9147	Blastema Predominant Kidney Wilms Tumor	Blastema Predominant Kidney Adenosarcoma|Blastema Predominant Nephroblastoma|Blastema Predominant Renal Adenosarcoma|Blastema Predominant Renal Wilm's Tumor|Blastema Predominant Renal Wilms Tumor|Blastema Predominant Renal Wilms' Tumor	Wilms tumor of the kidney characterized by the predominance of the blastema component.	Malignant
C7203	Blastic Plasmacytoid Dendritic Cell Neoplasm	Agranular CD4+ CD56+ Hematodermic Neoplasm/Tumor|Agranular CD4+ Natural Killer Cell Leukemia|Blastic NK-Cell Lymphoma|Blastic Natural Killer Leukemia/Lymphoma|Blastic Plasmacytoid Dendritic Cell Neoplasm|CD4+/CD56+ Hematodermic Neoplasm|Early Plasmacytoid Dendritic Cell Leukemia/Lymphoma|Monomorphic NK-Cell Lymphoma|Primary Cutaneous CD4+/CD56+ Hematolymphoid Neoplasm	"An aggressive immature hematologic neoplasm formerly known as blastic NK cell lymphoma, composed of cells with a lymphoblast-like morphology.  Recent evidence suggests derivation from a plasmacytoid monocyte.  Patients present with cutaneous tumors and bone marrow involvement."	Malignant
C37209	Blastoid Follicular Lymphoma		"A recently described distinct subtype of high-grade follicular center cell lymphoma, representing a transformation of conventional follicular lymphomas.  Although this type of lymphoma strongly expresses BCL-2, it does not carry the characteristic t(14;18)(q32;q21) chromosomal translocation found in follicular lymphomas.  Instead, extra copies of chromosome 18 are often detected. -- 2004"	Malignant
C7229	Blastoid Variant Mantle Cell Lymphoma	Classic Blastoid Variant Mantle Cell Lymphoma	An aggressive mantle cell lymphoma characterized by the presence of neoplastic B-lymphocytes resembling lymphoblasts.	Malignant
C3803	Blue Nevus	Blue Nevus of Skin|Blue Nevus of the Skin|Blue Skin Nevus	"An intradermal nevus characterized by the presence of benign pigmented dendritic spindle-shaped melanocytes. It most frequently occurs in the skin of the distal upper extremities, followed by the lower extremities, scalp, face, and buttocks. It usually presents as a single blue or blue-black papular lesion less than 1cm in diameter. Simple excision is usually curative."	Benign
C5316	Borderline Breast Phyllodes Tumor	Borderline Breast Phyllodes Neoplasm|Borderline Phyllodes Neoplasm of Breast|Borderline Phyllodes Neoplasm of the Breast|Borderline Phyllodes Tumor of Breast|Borderline Phyllodes Tumor of the Breast|Low Grade Malignant Breast Phyllodes Tumor	A phyllodes tumor of the breast characterized by the presence of intermediate features and a stroma which usually resembles low grade fibrosarcoma.	Undetermined
C7503	Borderline Phyllodes Tumor	Borderline Phyllodes Neoplasm	A phyllodes tumor with morphologic characteristics which are intermediate between a benign and a malignant phyllodes tumor. The stromal sarcomatous changes are of low grade and are often reminiscent of low grade fibrosarcomas.	Undetermined
C45163	Borrelia Burgdoferi-Associated Cutaneous Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue	Borrelia Burgdoferi-Associated Cutaneous Marginal Zone B-Cell Lymphoma of Mucosa-Associated Lymphoid Tissue		Malignant
C8374	Bowenoid Papulosis			Undetermined
C2907	Brain Neoplasm	Brain Neoplasm|Brain Neoplasms|Brain Tumor|Neoplasm of Brain|Neoplasm of the Brain|Tumor of Brain|Tumor of the Brain	A benign or malignant neoplasm that arises from or metastasizes to the brain.	Undetermined
C5214	Breast Adenocarcinoma	Adenocarcinoma of Breast|Adenocarcinoma of the Breast|Mammary adenocarcinoma	"The most common histologic type of breast carcinoma.  Representative examples include invasive ductal carcinoma not otherwise specified, ductal carcinoma in situ, inflammatory carcinoma, secretory carcinoma, signet ring cell carcinoma, tubular carcinoma, invasive lobular carcinoma, and lobular carcinoma in situ."	Malignant
C40383	Breast Apocrine Adenoma		"A rare, benign and well circumscribed neoplasm that arises from the breast.  It is characterized by the proliferation of epithelial cells with extensive apocrine metaplasia."	Benign
C4872	Breast Carcinoma	Breast Cancer|Breast Carcinoma|Cancer of Breast|Cancer of the Breast|Carcinoma of Breast|Carcinoma of the Breast|Mammary Carcinoma	"A carcinoma arising from the breast, most commonly the terminal ductal-lobular unit. It is the most common malignant tumor in females. Risk factors include country of birth, family history, menstrual and reproductive history, fibrocystic disease and epithelial hyperplasia, exogenous estrogens, contraceptive agents, and ionizing radiation. The vast majority of breast carcinomas are adenocarcinomas (ductal or lobular). Breast carcinoma spreads by direct invasion, by the lymphatic route, and by the blood vessel route. The most common site of lymph node involvement is the axilla."	Malignant
C53553	Breast Carcinoma by Gene Expression Profile			Malignant
C40384	Breast Ductal Adenoma	Ductal Adenoma	"A benign, well circumscribed neoplasm that is located within the lumen of a duct in the breast parenchyma.  It is characterized by the presence of glandular structures at the periphery and fibrous tissue at the center of the tumor."	Benign
C7575	Breast Phyllodes Tumor	Breast Cystosarcoma Phyllodes|Breast Phyllodes Neoplasm|Cystosarcoma Phyllodes of Breast|Cystosarcoma Phyllodes of the Breast|Phyllodes Breast Neoplasm|Phyllodes Breast Tumor|Phyllodes Neoplasm of Breast|Phyllodes Neoplasm of the Breast|Phyllodes Tumor of Breast|Phyllodes Tumor of the Breast	"A benign, malignant, or borderline circumscribed biphasic neoplasm that arises from the breast.  It usually affects middle-aged women.  It is characterized by the presence of a double layer of epithelial cells that are arranged in clefts, surrounded by a spindle cell mesenchymal (stromal) component."	Undetermined
C40408	Breast Pleomorphic Adenoma	Pleomorphic Adenoma of the Breast	"A rare, benign and well circumscribed neoplasm that arises from the breast.  It is characterized by the proliferation of epithelial and myoepithelial cells surrounded by chondroid stroma."	Benign
C6760	Breast Small Cell Carcinoma	Mammary Small Cell Carcinoma|Small Cell Carcinoma of Breast|Small Cell Carcinoma of the Breast|Small Cell Neuroendocrine Carcinoma of Breast|Small Cell Neuroendocrine Carcinoma of the Breast	A small cell carcinoma that arises from the breast.  The morphologic and immunohistochemical features are identical to those seen in the small cell carcinoma of the lung.	Malignant
C62210	Breast Tubular Adenoma		"A benign, well circumscribed neoplasm that arises from the breast.  It is composed entirely of tubular structures that contain epithelial and myoepithelial cells."	Benign
C5264	Bronchial Mucosa-Associated Lymphoid Tissue Lymphoma	BALT Lymphoma|BALToma|Bronchial MALT Lymphoma|Bronchus-Associated Lymphoid Tissue Lymphoma	"An extranodal marginal zone lymphoma that arises from the lung.  It is characterized by the neoplastic proliferation of small B-lymphocytes, monocytoid cells and cells with plasma cell differentiation in the marginal zones of reactive lymphoid follicles.  The neoplastic cells infiltrate the interfollicular areas and the bronchial epithelium forming lymphoepithelial lesions.  The neoplasm is usually discovered as a mass in a chest x-ray in asymptomatic patients.  When symptoms occur, they include cough, dyspnea, hemoptysis, and chest pain.  If the lung lesions are resectable, surgery can result in prolonged remission."	Malignant
C2923	Bronchioloalveolar Carcinoma	Bronchioalveolar Adenocarcinoma of Lung|Bronchioalveolar Adenocarcinoma of the Lung|Bronchioalveolar Lung Carcinoma|Bronchiolo-Alveolar Carcinoma of Lung|Bronchiolo-Alveolar Carcinoma of the Lung|Bronchiolo-Alveolar Lung Carcinoma|Bronchioloalveolar Adenocarcinoma of Lung|Bronchioloalveolar Adenocarcinoma of the Lung|Bronchioloalveolar Carcinoma|Bronchioloalveolar Lung Adenocarcinoma	"A well or moderately differentiated morphologic variant of lung adenocarcinoma characterized by tumor growth along the alveolar structures without stromal, vascular, or pleural invasion."	Malignant
C35875	Bronchogenic Carcinoma	Bronchial Carcinoma|Bronchiogenic Carcinoma|Bronchogenic Lung Carcinoma	A lung carcinoma arising from the bronchial epithelium.	Malignant
C4040	Buccal Mucosa Squamous Cell Carcinoma	SCC of Buccal Mucosa|SCC of the Buccal Mucosa|Squamous Cell Carcinoma of Buccal Mucosa|Squamous Cell Carcinoma of the Buccal Mucosa	A squamous cell carcinoma of the oral cavity that arises from the buccal mucosa.	Malignant
C7400	Burkitt Leukemia	Burkitt Leukemia|Burkitt's Cell Leukemia|Burkitt's Leukemia	The leukemic counterpart of Burkitt's lymphoma. The characteristic Burkitt cells are seen in the bone marrow and the peripheral blood. This is an aggressive leukemia.	Malignant
C2912	Burkitt Lymphoma	"Burkitt Lymphoma|Burkitt's Lymphoma|Small Non-Cleaved Cell Lymphoma, Burkitt's Type"	"A highly aggressive lymphoma composed of monomorphic medium-sized B-cells with basophilic cytoplasm and numerous mitotic figures.  It is often associated with the presence of Epstein-Barr virus (EBV) and is commonly seen in AIDS patients.  Three morphologic variants are recognized: classical Burkitt lymphoma, Burkitt lymphoma with plasmacytoid differentiation, and atypical Burkitt/Burkitt-like lymphoma.  All cases express the MYC translocation [t(8;14)]. (WHO, 2001)"	Malignant
C7189	Burkitt Lymphoma with Plasmacytoid Differentiation	Burkitt's Lymphoma with Plasmacytoid Differentiation		Malignant
C7457	Capillary Hemangioma	Capillary Angioma	A common hemangioma characterized by the presence of capillary-sized vascular channels without prominent epithelioid endothelial cells.	Benign
C2915	Carcinoid Tumor	Carcinoid Tumor|Carcinoid	"A slow growing neuroendocrine tumor, composed of uniform, round, or polygonal cells having monotonous, centrally located nuclei and small nucleoli, infrequent mitoses, and no necrosis.  The tumor may show a variety of patterns, such as solid, trabecular, and acinar.  Electron microscopy shows small secretory granules.  Immunohistochemical studies reveal NSE, as well as chromogranin immunoreactivity.  Malignant histology (cellular pleomorphism, hyperchromatic nuclei, prominent nucleoli, necrosis, and mitoses) can occasionally be seen.  Such cases may have an aggressive clinical course.  Gastrointestinal tract and lung are common sites of involvement."	Undetermined
C2916	Carcinoma	Carcinoma|Epithelial Carcinoma|Malignant Epithelial Neoplasm|Malignant Epithelial Tumor|Malignant Epithelioma	"A malignant tumor arising from epithelial cells. Carcinomas that arise from glandular epithelium are called adenocarcinomas, those that arise from squamous epithelium are called squamous cell carcinomas, and those that arise from transitional epithelium are called transitional cell carcinomas. Morphologically, the malignant epithelial cells may display abnormal mitotic figures, anaplasia, and necrosis. Carcinomas are graded by the degree of cellular differentiation as well, moderately, or poorly differentiated. Carcinomas invade the surrounding tissues and tend to metastasize to other anatomic sites. Lung carcinoma, skin carcinoma, breast carcinoma, colon carcinoma, and prostate carcinoma are the most frequently seen carcinomas."	Malignant
C4397	Carcinoma ex Pleomorphic Adenoma	Carcinoma in Pleomorphic Adenoma	A carcinoma arising in a pre-existing pleomorphic adenoma. It most often occurs in the parotid gland and less often in the submandibular gland and minor salivary gland. Patients usually present with a history of a long-standing mass which recently had undergone rapid growth. The prognosis depends on the invasiveness of the malignant component. Patients with non-invasive or minimally invasive tumors usually have a good prognosis following surgical resection. Invasive tumors are usually aggressive and are associated with recurrences and metastases.	Malignant
C2917	Carcinoma In Situ	Intraepithelial Carcinoma|Non-invasive Carcinoma	A malignant epithelial neoplasm which is confined to the epithelial layer without evidence of further tissue invasion.	Malignant
C6194	Carcinoma of the Collecting Ducts of Bellini	Bellini Duct Carcinoma|Carcinoma of Collecting Ducts of Bellini|Carcinoma of Kidney Collecting Duct|Carcinoma of Renal Collecting Duct|Carcinoma of the Collecting Ducts of Bellini|Carcinoma of the Kidney Collecting Duct|Carcinoma of the Renal Collecting Duct|Collecting Duct Carcinoma|Collecting Duct Renal Cell Carcinoma|Kidney Collecting Duct Carcinoma|Renal Collecting Duct Carcinoma	"Also known as collecting duct carcinoma, this is a rare type of renal carcinoma. It arises from the collecting ducts of the renal medulla, and most authors suggest that this is an aggressive tumor."	Malignant
C34448	Carcinosarcoma		A malignant tumor composed of a mixture of carcinomatous and sarcomatous elements.	Malignant
C6739	Cardiac Rhabdomyoma	Heart Rhabdomyoma|Rhabdomyoma of Heart|Rhabdomyoma of the Heart	"A well circumscribed benign tumor arising from cardiac muscle.  It usually affects children and may be present in the fetus.  Depending on tumor location and size, cardiac, respiratory, and hemodynamic parameters may be affected.  There is an association between cardiac rhabdomyoma and tuberous sclerosis."	Benign
C3086	Cavernous Hemangioma	Cavernoma|Cavernous Angioma	A hemangioma characterized by the presence of cavernous vascular spaces.	Benign
C53316	Cavernous Lymphangioma		A lymphangioma characterized by the presence of thin-walled cavernous lymphatic spaces.	Benign
C5543	Cecum Adenocarcinoma	Adenocarcinoma of Cecum|Adenocarcinoma of the Cecum|Cecal Adenocarcinoma	"An adenocarcinoma arising from the cecum.  It is more frequently seen in populations with a Western type diet and in patients with a history of chronic inflammatory bowel disease.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma."	Malignant
C39815	Cellular Congenital Mesoblastic Nephroma		"A congenital mesoblastic nephroma characterized by increased cellularity, sheet-like proliferation of fibroblastic cells, and increased mitotic activity.  Necrotic changes are commonly present."	Malignant
C4713	Cellular Ependymoma		An ependymoma which shows conspicuous cellularity without a significant increase in mitotic rate. (Adapted from WHO)	Undetermined
C6892	Cellular Fibroma		A morphologic variant of fibroma characterized by increased cellularity.	Benign
C7007	Central Nervous System Hemangioblastoma	CNS Hemangioblastoma|Central Nervous System Capillary Hemangioblastoma|Hemangioblastoma of CNS|Hemangioblastoma of Central Nervous System|Hemangioblastoma of the CNS	A hemangioblastoma arising from structures of the central nervous system.	Undetermined
C9293	Central Nervous System Neoplasm	CNS Neoplasm|CNS Tumor|Central Nervous System Tumor|Neoplasm of CNS|Neoplasm of Central Nervous System|Neoplasm of the Central Nervous System|Tumor of CNS|Tumor of Central Nervous System|Tumor of the CNS|Tumor of the Central Nervous System	"A benign or malignant, primary or metastatic neoplasm that affects the brain, meninges, or spinal cord.  Representative examples of primary neoplasms include astrocytoma, oligodendroglioma, ependymoma, and meningioma.  Representative examples of metastatic neoplasms include carcinoma and leukemia."	Undetermined
C5398	Central Nervous System Primitive Neuroectodermal Tumor	CNS Primitive Neuroectodermal Neoplasm|CNS Primitive Neuroectodermal Tumor|Central Nervous System PNET|Central Nervous System Primitive Neuroectodermal Neoplasm|Central Nervous System Primitive Neuroectodermal Tumor (WHO Grade IV)|Central Primitive Neuroectodermal Neoplasm|Central Primitive Neuroectodermal Tumor	"An aggressive malignant embryonal neoplasm arising from the central nervous system.  This category includes ependymoblastoma, medulloepithelioma, and supratentorial primitive neuroectodermal tumor.  It usually follows an aggressive clinical course."	Malignant
C3791	Central Neurocytoma	Central Neurocytoma (WHO Grade II)	An intraventricular neuronal neoplasm composed of uniform round cells with neuronal differentiation. It is typically located in the lateral ventricles in the region of the foramen of Monro. It generally affects young adults and has a favorable prognosis. (Adapted from WHO)	Undetermined
C4074	Centroblastic Lymphoma	Diffuse Centroblastic Lymphoma	A B-cell non-Hodgkin lymphoma composed of large noncleaved cells. This is a subtype of diffuse large B-cell non-Hodgkin lymphoma.	Malignant
C5146	Cerebellar Hemangioblastoma	Angioblastoma of Cerebellum|Angioblastoma of the Cerebellum|Cerebellar Angioblastoma|Cerebellar Capillary Hemangioblastoma|Hemangioblastoma of Cerebellum|Hemangioblastoma of the Cerebellum	"A histologically benign tumor, usually cystic with a vascular mural nodule, that is most often found in the cerebellum though it has been reported at other sites within the neuraxis. It is associated with von Hippel-Lindau disease (VHL gene located on chr 3p25-26)."	Undetermined
C6905	Cerebellar Liponeurocytoma	Cerebellar Liponeurocytoma (WHO Grade II)|Lipomatous Medulloblastoma	"A rare, WHO grade II cerebellar neoplasm which shows consistent neuronal, variable astrocytic and focal lipomatous differentiation. It occurs in adults, has a low proliferative potential and usually has a favorable prognosis. (Adapted from WHO)"	Undetermined
C5436	Cerebellopontine Angle Primitive Neuroectodermal Tumor	C-P Angle PNET|C-P Angle Primitive Neuroectodermal Neoplasm|C-P Angle Primitive Neuroectodermal Tumor|Cerebellar Pontine Angle PNET|Cerebellar Pontine Angle Primitive Neuroectodermal Neoplasm|Cerebellar Pontine Angle Primitive Neuroectodermal Tumor|Cerebellopontine Angle PNET|Cerebellopontine Angle Primitive Neuroectodermal Neoplasm|Primitive Neuroectodermal Neoplasm of C-P Angle|Primitive Neuroectodermal Neoplasm of Cerebellar Pontine Angle|Primitive Neuroectodermal Neoplasm of Cerebellopontine Angle|Primitive Neuroectodermal Neoplasm of the C-P Angle|Primitive Neuroectodermal Neoplasm of the Cerebellar Pontine Angle|Primitive Neuroectodermal Neoplasm of the Cerebellopontine Angle|Primitive Neuroectodermal Tumor of C-P Angle|Primitive Neuroectodermal Tumor of Cerebellar Pontine Angle|Primitive Neuroectodermal Tumor of Cerebellopontine Angle|Primitive Neuroectodermal Tumor of the C-P Angle|Primitive Neuroectodermal Tumor of the Cerebellar Pontine Angle|Primitive Neuroectodermal Tumor of the Cerebellopontine Angle	A central nervous system primitive neuroectodermal tumor arising from the cerebellopontine angle of the infratentorial brain.	Malignant
C92629	Cerebral Ganglioneuroblastoma		A supratentorial primitive neuroectodermal tumor characterized by the presence of poorly differentiated or undifferentiated neuroepithelial cells and ganglion cells.	Malignant
