?entity	?entity_label	?definition	?definition_sources	?parents	?synonyms	?comment
<http://purl.obolibrary.org/obo/HP_0030638>	"Congenital stationary night blindness with normal fundus"			"Congenital stationary night blindness (HP:0007642)"		
<http://purl.obolibrary.org/obo/HP_0025342>	"Central retinal artery occlusion"	"Blockage of the main artery in the retina. The typical presentation is one of profound monocular visual loss."	"PMID:23470793"	"Abnormality of central retinal artery (HP:3000032), Retinal arterial occlusion (HP:0025326)"		"Central retinal artery occlusion canmanifest as sudden, acute, and painless loss of vision in one eye."
<http://purl.obolibrary.org/obo/HP_0001116>	"Macular coloboma"	"A congenital defect of the macula distinct from coloboma associated with optic fissure closure defects. Macular coloboma is characterized by a sharply defined, rather large defect in the central area of the fundus that is oval or round, and coarsely pigmented."	"PMID:15069441, https://orcid.org/0000-0001-8727-6592"	"Abnormal macular morphology (HP:0001103), Retinal coloboma (HP:0000480)"	"Coloboma of the macula"	
<http://purl.obolibrary.org/obo/HP_0030824>	"Mizuo phenomenon"	"Change in the color of the fundus from red in the dark-adapted state to golden immediately or shortly after the onset of the light. The color of the fundus reflex in the light adapted state has also been described as golden-yellow, gray-white, and yellow-white. This reflex can appear either homogeneous or in streaks in the fundus. The retinal vessels appear to be protruding in contrast to the radiant background. Dark adaptation leads to disappearance of the unusual fundus coloration [Digital Journal of Ophthalmology 2008; Volume 14, Number 14]."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal fundus morphology (HP:0001098)"	"Mizuo-Nakamura phenomenon"	
<http://purl.obolibrary.org/obo/HP_0007950>	"Peripapillary chorioretinal atrophy"	"Chorioretinal atrophy concentrated around the optic papilla (i.e., the optic nerve head)."	"https://orcid.org/0000-0002-0736-9199"	"Chorioretinal atrophy (HP:0000533)"		
<http://purl.obolibrary.org/obo/HP_0025163>	"Abnormal optic chiasm morphology"	"A structural abnormality of the optic chiasm.The optic chiasm, located below the hypothalamus, is a partial crossing of the optic nerves."		"Abnormal optic nerve morphology (HP:0000587)"	"Abnormality of optic chiasm morphology"	
<http://purl.obolibrary.org/obo/HP_0001104>	"Macular hypoplasia"	"Underdevelopment of the macula lutea."	"https://orcid.org/0000-0002-0736-9199"	"Aplasia/Hypoplasia of the macula (HP:0008059)"		
<http://purl.obolibrary.org/obo/HP_0030641>	"Incomplete congenital stationary night blindness"			"Congenital stationary night blindness with normal fundus (HP:0030638)"		
<http://purl.obolibrary.org/obo/HP_0031172>	"Sectoral retinitis pigmentosa"	"A variant of retinitis pigmentosa in which there is a regional distribution of the retinal degeneration."		"Rod-cone dystrophy (HP:0000510)"		
<http://purl.obolibrary.org/obo/HP_0007917>	"Tractional retinal detachment"	"A type of retinal detachment arising due to a combination of contracting retinal membranes, abnormal vitreoretinal adhesions, and vitreous changes. It is usually seen in the context of diseases that induce a fibrovascular response, e.g. diabetes."	"ISBN-13:978-0199679980, https://orcid.org/0000-0002-0736-9199"	"Retinal detachment (HP:0000541)"		
<http://purl.obolibrary.org/obo/HP_0012426>	"Optic disc drusen"	"Optic disc drusen are acellular, calcified deposits within the optic nerve head. Optic disc drusen are congenital and developmental anomalies of the optic nerve head, representing hyaline-containing bodies that, over time, appear as elevated, lumpy irregularities on the anterior portion of the optic nerve."	"PMID:30524490, PMID:23658477, PMID:22787500, https://orcid.org/0000-0002-0736-9199"	"Drusen (HP:0011510), Abnormal optic disc morphology (HP:0012795)"	"Optic nerve head drusen"	"Optic disc drusen can lead to an elevated disk and thus mimic disk swelling (pseudopapilledema)."
<http://purl.obolibrary.org/obo/HP_0031977>	"Increased vertical cup-to-disc ratio - 0.9"	"Ratio of the height of the cup of the optic nerve head to the height of the disk is 0.9 (The normal cup-to-disc ratio is 0.3)."	"https://orcid.org/0000-0003-0986-4123"	"Increased vertical cup-to-disc ratio (HP:0031973)"		
<http://purl.obolibrary.org/obo/HP_0008014>	"Central fundal arteriolar microaneurysms"	"Microscopic aneurysms of the retinal arterioles near the central part of the fundus, visible as small round dark red dots on the retinal surface (not arising from visible vessels) that are by definition less than the diameter of the major optic veins as they cross the optic disc."	"https://orcid.org/0000-0002-0736-9199"	"Retinal microaneurysm (HP:0032416)"		
<http://purl.obolibrary.org/obo/HP_0020165>	"Branch retinal vein occlusion"	"Blockage of a branch of the retinal vein. It may present with sudden-onset of painless vision loss or visual field defect correlating to the area of perfusion of the obstructed vessels."	"PMID:30570991, https://orcid.org/0000-0003-0986-4123"	"Retinal vein occlusion (HP:0012636)"		
<http://purl.obolibrary.org/obo/HP_0030635>	"Retinal dystrophy with early macular involvement"			"Retinal dystrophy (HP:0000556)"		
<http://purl.obolibrary.org/obo/HP_0000610>	"Abnormal choroid morphology"	"Any structural abnormality of the choroid."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal uvea morphology (HP:0000553), Abnormal fundus morphology (HP:0001098)"	"Abnormality of the choroid"	
<http://purl.obolibrary.org/obo/HP_0007862>	"Retinal calcification"	"Deposition of calcium salts in the retina."	"https://orcid.org/0000-0002-0736-9199"	"Yellow/white lesions of the retina (HP:0030506), Ectopic calcification (HP:0010766)"		
<http://purl.obolibrary.org/obo/HP_0012512>	"Diffuse optic disc pallor"	"A pale yellow discoloration of the entire optic disc."	"PMID:19668477, https://orcid.org/0000-0002-0736-9199"	"Optic disc pallor (HP:0000543)"		"Temporal pallor is seen in conditions that selectively affect the papillo-macular bundle. The word temporal refers to the temporal bone at the side of the head."
<http://purl.obolibrary.org/obo/HP_0000493>	"Abnormal foveal morphology"	"An abnormality of the fovea centralis, the central area of the macula that mediates central, high resolution vision and contains the largest concentration of cone cells in the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal macular morphology (HP:0001103)"	"Abnormality of the fovea"	
<http://purl.obolibrary.org/obo/HP_0001103>	"Abnormal macular morphology"	"A structural abnormality of the macula lutea, which is an oval-shaped highly pigmented yellow spot near the center of the retina."	"PMID:16255686, https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Macula abnormality, Macular abnormality, Abnormality of the macula"	"The term macula derives from the presence of the xanthophyll pigments, lutein and zeaxanthin, in a region five to six millimeters in diameter at the posterior pole of the eye, appearing as a yellow spot (macula lutea), when viewed in red-free light."
<http://purl.obolibrary.org/obo/HP_0007958>	"Optic atrophy from cranial nerve compression"			"Cranial nerve compression (HP:0001293), Optic atrophy (HP:0000648)"		
<http://purl.obolibrary.org/obo/HP_0011958>	"Retinal perforation"	"A small hole through the whole thickness of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Torn retina, Retinal tear"	"Retinal perforations can be cause by inflammation, trauma, degeneration, or other factors, and comprise retinal breaks, tears, dialyses, and holes."
<http://purl.obolibrary.org/obo/HP_0011508>	"Macular hole"	"A macular hole is a small break in the macula, located in the center of the retina."	"HPO_CONTRIBUTOR:DDD_ncarter"	"Abnormal macular morphology (HP:0001103), Retinal perforation (HP:0011958)"		
<http://purl.obolibrary.org/obo/HP_0007903>	"Paravenous chorioretinal atrophy"	"Chorioretinal atrophy along the retinal veins."	"PMID:15623792, https://orcid.org/0000-0002-0736-9199"	"Chorioretinal atrophy (HP:0000533)"		
<http://purl.obolibrary.org/obo/HP_0007791>	"Patchy atrophy of the retinal pigment epithelium"	"Wasting (atrophy) of the retinal pigment epithelium present in small, isolated areas."		"Retinal pigment epithelial atrophy (HP:0007722)"		
<http://purl.obolibrary.org/obo/HP_0000588>	"Optic disc coloboma"	"A cleft of the optic nerve that extends inferiorly."	"PMID:16219745, https://orcid.org/0000-0002-0736-9199"	"Coloboma (HP:0000589), Abnormal optic disc morphology (HP:0012795)"	"Optic nerve coloboma, Optic disc coloboma, Coloboma of optic nerve"	"A congenital, unilateral or bilateral congenital condition caused by incomplete closure of the embryonic fissure."
<http://purl.obolibrary.org/obo/HP_0025146>	"Foveal degeneration"	"Deterioration of the tissue of the fovea, i.e.,the region of sharpest vision within the macula of the retina."		"Macular degeneration (HP:0000608), Abnormal foveal morphology (HP:0000493)"		
<http://purl.obolibrary.org/obo/HP_0000533>	"Chorioretinal atrophy"	"Atrophy of the choroid and retinal layers of the fundus."	"PMID:20224472, https://orcid.org/0000-0002-0736-9199"	"Chorioretinal degeneration (HP:0200065)"	"Chorioretinal thinning"	"Choroidal sclerosis is a descriptive term applied to the ophthalmoscopic appearance of prominent white choroidal vessels in which the blood columns are not seen or are sheathed by white lines. Choroidal sclerosis is a term used to describe a group of genetically heterogeneous retinal dystrophies that share a common funduscopic phenotype of scalloped, well-circumscribed, and confluent chorioretinal atrophic lesions that extend beyond the macula. The term choroidal sclerosis was initially coined because of the sclerotic appearance of choroidal vessels which frequently appear white or light-yellow. However, histologic studies have demonstrated the term to be a misnomer as the principle abnormality is the loss of choriocapillaris, retinal pigment epithelium (RPE), and the outer retina in the absence of abnormal sclerotic changes in the choroidal vasculature. Therefore, we are making choroidal sclerosis a synonym of chorioretinal atrophy."
<http://purl.obolibrary.org/obo/HP_0012424>	"Chorioretinitis"	"An inflammation of the choroid and retina."	"PMID:16196117, https://orcid.org/0000-0001-5208-3432"	"Abnormal chorioretinal morphology (HP:0000532)"		"Chorioretinitis is a form of posterior uveitis. Note that the term Chorioretinitis suggests that the origin of the process is predominantly in the choroid while Retinitis suggests that the process is mainly in the retina."
<http://purl.obolibrary.org/obo/HP_0008030>	"Retinal arteritis"			"Retinal vasculitis (HP:0025188), Arteritis (HP:0012089), Abnormal retinal artery morphology (HP:0000630)"		
<http://purl.obolibrary.org/obo/HP_0007814>	"Retinal pigment epithelial mottling"	"Mottling (spots or blotches with different shades) of the retinal pigment epithelium, i.e., localized or generalized fundal pigment granularity associated with processes at the level of the retinal pigment epithelium."	"https://orcid.org/0000-0002-0736-9199"	"Abnormality of retinal pigmentation (HP:0007703)"	"Salt and pepper retinal pigmentation, RPE irregularity, Salt and pepper retinopathy, RPE mottling, Retinal pigment epithelium irregularity, Focal hypopigmentation of the retinal pigment epithelium"	
<http://purl.obolibrary.org/obo/HP_0000510>	"Rod-cone dystrophy"	"An inherited retinal disease subtype in which the rod photoreceptors appear to be more severely affected than the cone photoreceptors. Typical presentation is with nyctalopia (due to rod dysfunction) followed by loss of mid-peripheral field of vision, which gradually extends and leaves many patients with a small central island of vision due to the preservation of macular cones."	"PMID:20212494, https://orcid.org/0000-0002-0736-9199"	"Retinal dystrophy (HP:0000556)"	"Rod cone dystrophy, Retinitis pigmentosa"	"Retinitis pigmentosa is a group of hereditary diseases of the eye. However, the term retinitis pigmentosa has also been used to describe the retinal findings characteristic of these diseases but also seen on other diseases such as Usher syndrome. It is preferable to describe the findings precisely if possible, but this term is kept for convenience."
<http://purl.obolibrary.org/obo/HP_0200065>	"Chorioretinal degeneration"			"Abnormal chorioretinal morphology (HP:0000532)"		
<http://purl.obolibrary.org/obo/HP_0007797>	"Retinal vascular malformation"			"Abnormal retinal vascular morphology (HP:0008046)"		
<http://purl.obolibrary.org/obo/HP_0030498>	"Macular thickening"	"Abnormal increase in retinal thickness in the macular area observed on fundoscopy or fundus imaging."	"https://orcid.org/0000-0003-0986-4123"	"Abnormal macular morphology (HP:0001103)"		
<http://purl.obolibrary.org/obo/HP_0031978>	"Increased vertical cup-to-disc ratio - 1.0"	"Ratio of the height of the cup of the optic nerve head to the height of the disk is 1.0 (The normal cup-to-disc ratio is 0.3)."	"https://orcid.org/0000-0003-0986-4123"	"Increased vertical cup-to-disc ratio (HP:0031973)"		
<http://purl.obolibrary.org/obo/HP_0007992>	"Lattice retinal degeneration"			"Peripheral retinal degeneration (HP:0007769)"		
<http://purl.obolibrary.org/obo/HP_0031152>	"Full-thickness macular hole"	"Full-thickness macular hole (FTMH) is defined as a foveal lesion with interruption of all retinal layers from the internal limiting membrane to the retinal pigment epithelium. Full-thickness macular hole is primary if caused by vitreous traction or secondary if directly the result of pathologic characteristics other than vitreomacular traction. Full-thickness macular hole is subclassified by size of the hole as determined by OCT and the presence or absence of vitreomacular traction."	"PMID:24053995"	"Macular hole (HP:0011508)"	"FTMH"	
<http://purl.obolibrary.org/obo/HP_0025110>	"Placoid macular lesion"	"Yellow/white, sharply delineated lesion, typically of inflammatory nature, involving the macula."		"Yellow/white lesions of the macula (HP:0030500)"		
<http://purl.obolibrary.org/obo/HP_0008028>	"Cystoid macular degeneration"	"A form of macular degeneration characterized by the presence of multiple cysts in the macula."	"https://orcid.org/0000-0002-0736-9199"	"Macular degeneration (HP:0000608)"	"Cystic macular degeneration"	
<http://purl.obolibrary.org/obo/HP_0009594>	"Retinal hamartoma"	"A hamartoma (a benign, focal malformation consisting of a disorganized mixture of cells and tissues) of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479), Hamartoma of the eye (HP:0010568)"		
<http://purl.obolibrary.org/obo/HP_0030494>	"Macular microaneurysm/hemorrhage"	"Small, red dots in the superficial retinal layers (it is difficult to distinguish between small hemorrhages and microaneurysms)."		"Retinal microaneurysm (HP:0032416), Abnormality morphology of the macular vasculature (HP:0030495)"		
<http://purl.obolibrary.org/obo/HP_0025010>	"Foveal atrophy"	"Partial or complete loss of foveal tissue that was once present."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal foveal morphology (HP:0000493)"		"Loss of foveal tissue (atrophy) may be inferred by a medical history of loss of vision and the observation of a foveal lesion such as reduced foveal thickness on optical coherence tomography (OCT)."
<http://purl.obolibrary.org/obo/HP_0000573>	"Retinal hemorrhage"	"Hemorrhage occurring within the retina."	"HPO_CONTRIBUTOR:gcarletti"	"Hemorrhage of the eye (HP:0011885), Abnormal retinal morphology (HP:0000479), Fundus hemorrhage (HP:0031803)"	"Retinal haemorrhages, Retinal haemorrhage, Retinal hemorrhages, Retinal bleeding"	"The type of retinal hemorrhage and its clinical appearance depends on its location within the retina."
<http://purl.obolibrary.org/obo/HP_6000367>	"Central thinning of the outer nuclear layer of the retina"	"Reduced thickness of the outer nuclear layer in the middle region of the retina. The outer nuclear layer (ONL) of the retina contains the nuclei of the cone and rod photoreceptors. Loss of the cellular machinery found in these nuclei causes irreparable loss of the photoreceptors and the capacity for visual function. This feature can be appreciated by directional optical coherence tomography."	"PMID:25829348"	"Retinal thinning (HP:0030329)"	"Central thinning of the ONL"	
<http://purl.obolibrary.org/obo/HP_0007778>	"Posterior retinal neovascularization"	"A type of retinal neovascularization that affects the posterior pole of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Retinal neovascularization (HP:0030666)"	"Posterior retinal neovascularisation, Neovascularization of peripheral and posterior retina"	
<http://purl.obolibrary.org/obo/HP_0007989>	"Intraretinal exudate"	"Retinal exudate within the retinal tissue itself."	"https://orcid.org/0000-0002-0736-9199"	"Retinal exudate (HP:0001147)"		
<http://purl.obolibrary.org/obo/HP_0000587>	"Abnormal optic nerve morphology"	"Abnormality of the optic nerve."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal fundus morphology (HP:0001098)"	"optic nerve abnormalities, Abnormality of the optic nerve, Optic nerve issue"	"The optic nerve, which is also known as cranial nerve II, transmits visual information from the retina to the brain. The term 'optic disc' is frequently used to describe the portion of the optic nerve clinically visible on fundoscopic examination."
<http://purl.obolibrary.org/obo/HP_0025094>	"Disciform macular scar"	"A subretinal scar with a disc-like shape in the region of the macula."		"Macular scar (HP:0200056)"		
<http://purl.obolibrary.org/obo/HP_0007929>	"Peripheral retinal detachment"	"Separation of the inner layers of the retina (neural retina) from the pigment epithelium occurring near the outer limit (periphery) of the retina."		"Retinal detachment (HP:0000541)"		
<http://purl.obolibrary.org/obo/HP_0007922>	"Hypermyelinated retinal nerve fibers"			"Abnormal myelination (HP:0012447), Abnormal retinal nerve fiber layer morphology (HP:0020119)"	"Retinal striation, Hypermyelinated retinal nerve fibres"	
<http://purl.obolibrary.org/obo/HP_0009727>	"Achromatic retinal patches"	"Areas of the retina lacking pigmentation. Punched out areas of chorioretinal hypopigmentation less than 1 disk diameter in size and tending to be located in the midperiphery of the retina."	"PMID:11264130, https://orcid.org/0000-0002-0736-9199"	"Hypopigmentation of the fundus (HP:0007894)"	"Punched out areas of chorioretinal hypopigmentation"	
<http://purl.obolibrary.org/obo/HP_0034302>	"Megalopapilla"	"A congenitally anomalous enlarged optic disc (surface area greater than 2.50 square millimeters). It is considered to be a normal variant without physiological defects."	"PMID:31926369"	"Abnormal optic disc morphology (HP:0012795)"		
<http://purl.obolibrary.org/obo/HP_0025240>	"Preretinal hemorrhage"	"An accumulation of blood between the neurosensory retina and the retinal pigment epithelium (RPE) arising from the choroidal or retinal circulation."	"https://orcid.org/0000-0003-0986-4123"	"Fundus hemorrhage (HP:0031803)"	"Preretinal heme, Preretinal haemorrhage"	"Clinically speaking, distinguishing between preretinal and subhyaloid hemorrhages is difficult. Therefore, clinicians often use the terms interchangeably. A D-shaped or boat-shaped appearance may be observed, because the blood accumulates within loosely adherent tissue of the superficial retina and can spread and settle inferiorly with gravity. A sharp demarcation line is usually evident."
<http://purl.obolibrary.org/obo/HP_0025242>	"Dot-and-blot retinal hemorrhage"	"Accumulation of blood located in the retina's inner nuclear and outer plexiform layers, and having a dot-like or blot-like shape. THe shape results from intraretinal compression, restricting the hemorrhages within a specific location."		"Intraretinal hemorrhage (HP:0031805)"	"Round retinal heme, Dot-and-blot retinal haemorrhage"	"Dot-ant-blot Intraretinal hemorrhages take longer to resolve than superficial hemorrhages because they're deeper than flame-shaped hemorrhages."
<http://purl.obolibrary.org/obo/HP_0031804>	"Premacular hemorrhage"			"Preretinal hemorrhage (HP:0025240)"	"Premacular haemorrhage"	
<http://purl.obolibrary.org/obo/HP_0000567>	"Chorioretinal coloboma"	"Absence of a region of the retina, retinal pigment epithelium, and choroid."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal chorioretinal morphology (HP:0000532), Coloboma (HP:0000589)"	"Choroidoretinal coloboma, Birth defect that causes a hole in the innermost layer at the back of the eye"	
<http://purl.obolibrary.org/obo/HP_0025148>	"Dark choroid"	"A fluorescein angiographic finding of absence of the normal background fluorescence (a dark choroid)."	"PMID:7248243, PMID:27739528"	"Abnormal choroid morphology (HP:0000610)"		"The cause of dark choroid is thought to relate to the deposition of an abnormal material (lipofuscin) in the retinal pigment epithelial cells."
<http://purl.obolibrary.org/obo/HP_0007750>	"Hypoplasia of the fovea"	"Underdevelopment of the fovea centralis."	"https://orcid.org/0000-0002-0736-9199"	"Aplasia/Hypoplasia of the fovea (HP:0008060)"	"Foveal hypoplasia"	"A dull foveal reflex is an unusual reflex of the foveal region on fundoscopy that may indicate hypoplasia of the fovea."
<http://purl.obolibrary.org/obo/HP_0020166>	"Central retinal vein occlusion"	"Central retinal vein occlusion is an occlusion of the main retinal vein posterior to the lamina cribrosa of the optic nerve and is typically caused by thrombosis."	"PMID:30252241"	"Retinal vein occlusion (HP:0012636)"		
<http://purl.obolibrary.org/obo/HP_0007731>	"Chorioretinal dysplasia"	"Abnormal development of the choroid and retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal chorioretinal morphology (HP:0000532)"		
<http://purl.obolibrary.org/obo/HP_0030505>	"Nummular pigmentation of the fundus"	"Clumped pigmentary changes of nummular appearance (i.e., thought to resemble the shape of a coin or multiple coins stuck together) at the level of the retinal pigment epithelium."	"PMID:21763485"	"Pigmentary retinopathy (HP:0000580)"	"Nummular pigmentation of the retina"	
<http://purl.obolibrary.org/obo/HP_0025314>	"Choroidal nevus"	"A benign, flat or slightly elevated melanocytic lesions of the posterior uveawith clearly defined margins. Choroidal nevi tend they remain stable in size, and to display features such as overlying drusen as well as retinal pigment epithelial atrophy, hyperplasia or fibrous metaplasia."		"Abnormal choroid morphology (HP:0000610)"		
<http://purl.obolibrary.org/obo/HP_0008020>	"Cone dystrophy"	"Inherited progressive cone degeneration."		"Cone/cone-rod dystrophy (HP:0000548)"	"Progressive cone dystrophy, Progressive cone degeneration"	
<http://purl.obolibrary.org/obo/HP_0012511>	"Temporal optic disc pallor"	"A pale yellow discoloration of the temporal (lateral) portion of the optic disc."	"PMID:19668477, https://orcid.org/0000-0002-0736-9199"	"Optic disc pallor (HP:0000543)"		"Temporal pallor is seen in conditions that selectively affect the papillo-macular bundle. The word temporal refers to the temporal bone at the side of the head."
<http://purl.obolibrary.org/obo/HP_0012795>	"Abnormal optic disc morphology"	"A morphological abnormality of the optic disc, i.e., of the portion of the optic nerve clinically visible on fundoscopic examination."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal optic nerve morphology (HP:0000587)"		"The term 'optic disc' is frequently used to describe the portion of the optic nerve clinically visible on fundoscopic examination."
<http://purl.obolibrary.org/obo/HP_0025355>	"Retinal arterial macroaneurysms"	"Acquired focal dilatations of branches of the retinal artery, usually second-order retinal arterioles, that range in size from 100 to 200 micrometers in diameter. Macroaneurysms are generally located at the temporal retina and may be hemorrhagic or exudative."		"Abnormal retinal artery morphology (HP:0000630)"		"Retinal arterial macroaneurysms can be visualized on fundoscopy and by fluorescein angiography or spectral-domain optical coherence tomography."
<http://purl.obolibrary.org/obo/HP_0200070>	"Peripheral retinal atrophy"			"Retinal atrophy (HP:0001105)"	"Wasting of the outer part of the retina"	
<http://purl.obolibrary.org/obo/HP_0001493>	"Falciform retinal fold"	"An area of the retina that is buckled so that a sector-shaped sheet of retina lies in front of the normal retina. This feature is of congenital onset."	"https://orcid.org/0000-0002-0736-9199"	"Retinal fold (HP:0008052)"	"Congenital retinal fold"	
<http://purl.obolibrary.org/obo/HP_0007658>	"Large hyperpigmented retinal spots"			"Hyperpigmentation of the fundus (HP:0011512)"		
<http://purl.obolibrary.org/obo/HP_0025583>	"Tapetal-like fundal reflex"	"Golden, scintillating, particulate reflection noted on fundus examination (typically in the macula and sparing the fovea). The term tapetal is used to describe this 'metallic' sheen appearance as it is thought to be similar to the 'tapetal' reflex seen in the eyes of certain animals."		"Abnormal fundus morphology (HP:0001098)"		"This appearance is typically seen in female carriers of X-linked RP associated mutations."
<http://purl.obolibrary.org/obo/HP_0030502>	"Retinoschisis"	"Splitting of the neuroretinal layers of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"		
<http://purl.obolibrary.org/obo/HP_0007737>	"Bone spicule pigmentation of the retina"	"Pigment migration into the retina in a bone-spicule configuration (resembling the nucleated cells within the lacuna of bone)."	"https://orcid.org/0000-0002-0736-9199"	"Pigmentary retinopathy (HP:0000580)"	"Retinal pigmented bone spicules, Bone corpuscle fundus pigmentation, Fundus with peripheral bony spicules, Retinal bone corpuscle pigmentation"	
<http://purl.obolibrary.org/obo/HP_0007858>	"Chorioretinal lacunae"	"Punched out lesions in the pigmented layer of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal chorioretinal morphology (HP:0000532)"		"A chorioretinal lacuna can have the appearance of a pseudodisk in the retina."
<http://purl.obolibrary.org/obo/HP_0007815>	"Abnormal distribution of retinal arterioles and venules"			"Abnormal retinal vascular morphology (HP:0008046)"		
<http://purl.obolibrary.org/obo/HP_0020119>	"Abnormal retinal nerve fiber layer morphology"	"A structural abnormality of the retinal nerve fiber layer"		"Abnormal retinal morphology (HP:0000479)"	"Abnormal retinal nerve fibre layer morphology"	"The retinal nerve fiber layer consists of unmyelinated ganglion cell axons coursing on the vitreal surface of the retina to the optic disc. These axons become myelinated after entering the optic nerve."
<http://purl.obolibrary.org/obo/HP_0008052>	"Retinal fold"	"A wrinkle of retinal tissue projecting outward from the surface of the retina and visible as a line on fundoscopy."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Retinal folds"	
<http://purl.obolibrary.org/obo/HP_0500058>	"Retinopathy of prematurity stage 5b"	"A closed funnel detachment of the retina with generally traction in all four quadrants."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity stage 5 (HP:0500056)"	"ROP stage 5b"	
<http://purl.obolibrary.org/obo/HP_0007766>	"Optic disc hypoplasia"	"Underdevelopment of the optic disc, that is of the optic nerve head, where ganglion cell axons exit the eye to form the optic nerve."	"https://orcid.org/0000-0002-0736-9199"	"Aplasia/Hypoplasia of the optic nerve (HP:0008058)"	"Hypoplastic optic discs"	
<http://purl.obolibrary.org/obo/HP_0007894>	"Hypopigmentation of the fundus"	"Reduced pigmentation of the fundus, typically generalized. Fundoscopy may reveal a low level pigment in both RPE and choroid with clear visibility of choroidal vessels (pale/albinoid) or low pigment level in the RPE with deep pigment in choroid so that visible choroidal vessels are separated by deeply pigmented zones (tesselated/tigroid)."	"https://orcid.org/0000-0003-0986-4123"	"Abnormality of fundus pigmentation (HP:0031605)"	"Decreased fundus pigmentation, Fundus hypopigmentation"	
<http://purl.obolibrary.org/obo/HP_0000631>	"Retinal arterial tortuosity"	"The presence of an increased number of twists and turns of the retinal artery."	"https://orcid.org/0000-0002-0736-9199"	"Arterial tortuosity (HP:0005116), Retinal vascular tortuosity (HP:0012841), Abnormal retinal artery morphology (HP:0000630)"	"Retinal artery tortuousity"	
<http://purl.obolibrary.org/obo/HP_0001099>	"Fundus atrophy"			"Abnormal fundus morphology (HP:0001098)"		
<http://purl.obolibrary.org/obo/HP_0001135>	"Chorioretinal dystrophy"			"Retinal dystrophy (HP:0000556), Abnormal chorioretinal morphology (HP:0000532)"		
<http://purl.obolibrary.org/obo/HP_0007850>	"Retinal vascular proliferation"			"Abnormal retinal vascular morphology (HP:0008046)"		
<http://purl.obolibrary.org/obo/HP_0011504>	"Bull's eye maculopathy"	"Progressive maculopathy characterized by concentric regions of hyper- and hypo-pigmentation."	"https://orcid.org/0000-0001-8727-6592"	"Abnormality of macular pigmentation (HP:0008002)"	"Chloroquine retinopathy"	
<http://purl.obolibrary.org/obo/HP_0025514>	"Morning glory anomaly"	"An abnormality of the optic nerve in which the optic nerve is large and funneled and displays a conical excavation of the optic disc. The optic disc appears dysplastic."		"Abnormal optic nerve morphology (HP:0000587)"	"Morning glory disk anomaly, Morning glory optic disc, Morning glory disc anomaly"	"The name of this anomaly derives from a perceived similarity of the anomaly to the morning glory flower."
<http://purl.obolibrary.org/obo/HP_0007770>	"Hypoplasia of the retina"			"Aplasia/Hypoplasia of the retina (HP:0008061)"	"Underdeveloped retina, Retinal hypoplasia"	
<http://purl.obolibrary.org/obo/HP_0025326>	"Retinal arterial occlusion"	"Blockage of the retinal artery, generally associated with interruption of blood flow and oxygen delivery to the retina."		"Abnormal retinal artery morphology (HP:0000630)"	"Retinal artery occlusion"	"Retinal artery occlusion can manifest as painless loss of monocular vision."
<http://purl.obolibrary.org/obo/HP_0025551>	"Optic nerve misrouting"	"Abnormal decussation of the visual pathways, typically identified using visual evoked potentials (VEP) (asymmetrical distribution of the VEP over the posterior scalp)."		"Abnormal optic nerve morphology (HP:0000587)"	"Visual pathway misrouting, Optic pathway misrouting"	
<http://purl.obolibrary.org/obo/HP_0008001>	"Foveal hyperpigmentation"	"Increased amount of pigmentation in the fovea centralis."	"https://orcid.org/0000-0002-0736-9199"	"Abnormality of foveal pigmentation (HP:0030493)"		
<http://purl.obolibrary.org/obo/HP_0030497>	"Macular cotton wool spot"	"Fluffy white patch on the macula, representing localized areas of dense white swelling of the retinal nerve fiber layer. They often have a zigzag internal structure, a feathered edge but an otherwise well-delineated form and an approximately 1 mm dimension; they project slightly into the vitreous and sometimes deflect retinal vessels."	"PMID:6169833"	"Retinal cotton wool spot (HP:0031606), Yellow/white lesions of the macula (HP:0030500)"		"Cotton-wool spots (CWSs) are common retinal manifestations of many diseases including diabetes mellitus, systemic hypertension, and acquired immunodeficiency syndrome."
<http://purl.obolibrary.org/obo/HP_0007768>	"Central retinal vessel vascular tortuosity"	"The presence of an increased number of twists and turns of retinal blood vessels (arteries, arterioles, veins, venules)."	"https://orcid.org/0000-0002-0736-9199"	"Retinal arterial tortuosity (HP:0000631)"	"Tortuosity of main retinal vessels"	
