?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0410350>	"Increased urinary fucosylated oligosaccharide"	"An abnormal increase in the concentration of small fucosylated oligosaccharides in the urine."	"Oligosacchariduria"
<http://purl.obolibrary.org/obo/HP_0020158>	"Increased circulating adrenic acid concentration"	"An increased concentration of adrenic acid (also known as cis-7,10,13,16-Docosatetraenoic acid) in the blood circulation."	"Abnormal circulating fatty-acid concentration"
<http://purl.obolibrary.org/obo/HP_0004826>	"Folate-unresponsive megaloblastic anemia"	"A type of megaloblastic anemia that does not improve upon administration of folate. Since vitamin B12 acts by promoting recycling of folate, administration of vitamin B12 also does not improve this type of anemia."	"Megaloblastic anemia"
<http://purl.obolibrary.org/obo/HP_0031507>	"Decreased circulating T4 concentration"	"A reduction below the normal concentration of thyroxine in the blood. Thyroxine (also known as T4) is the main hormone secreted by the thyroid gland into the blood. It can be converted into the active form triiodothyronine (also known as T3)."	"Abnormal circulating T4 concentration"
<http://purl.obolibrary.org/obo/HP_0003297>	"Hyperlysinuria"	"An increased concentration of lysine in the urine."	"Increased aspartate family amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_0500193>	"Increased CSF isoleucine concentration"@en	"Abnormally increased levels of isoleucine in cerebrospinal fluid."	"Abnormal CSF isoleucine concentration"
<http://purl.obolibrary.org/obo/HP_0500219>	"Abnormal CSF tyrosine concentration"@en	"Any deviation from the normal concentration of tyrosine in the cerebrospinal fluid."	"Abnormal CSF aromatic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0031812>	"Nitrituria"	"Presence of nitrites in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_6000402>	"Elevated circulating 27-hydroxycholesterol concentration"	"The concentration of 27-hydroxycholesterol in the blood circulation is above the upper limit of normal."	"Abnormal circulating cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0032532>	"Elevated CSF 4-hydroxybutyric acid concentration"	"Abnormally increased level of 4-hydroxybutyric acid in the cerebrospinal fluid (CSF)."	"Abnormal CSF carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0012556>	"Hyperbeta-alaninemia"	"Increased concentration of beta-alanine in the blood."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0031052>	"Elevated vascular endothelial growth factor level"	"Increased blood concentration of vascular endothelial growth factor (VEGF)."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0410188>	"Decreased glucose-6-phosphate dehydrogenase level in red blood cells"	"A decrease in the level of glucose-6-phosphate dehydrogenase in red blood cells."	"Abnormal glucose-6-phosphate dehydrogenase level in red blood cells"
<http://purl.obolibrary.org/obo/HP_0032025>	"Reduced circulating alpha-1-antitrypsin concentration"	"A reduced concentration or activity of circulating alpha-1 antitrypsin, which is a 52-kDa glycoprotein mainly synthesized and secreted by hepatocytes into the bloodstream. Alpha-1 antitrypsin is a serine-proteinase inhibitor that it is crucial in maintaining protease-antiprotease homeostasis in the lungs."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0034442>	"Abnormal circulating erythropoietin concentration"	"Any deviation from the normal concentration of erythropoietin in the blood circulation. Erythropoietin is a glycoprotein hormone produced by the peritubular cells of the kidney that stimulates red blood cell production."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0040216>	"Hypoinsulinemia"	"A decreased concentration of insulin in the blood."	"Abnormal circulating insulin concentration"
<http://purl.obolibrary.org/obo/HP_0410145>	"Decreased circulating biotinidase concentration"	"Concentration of biotinidase in the blood circulation below the lower limit of normal. Biotidinase is an enzyme that releases biotin from biocytin, the product of biotin-dependent carboxylases degradation."	"Abnormal circulating biotinidase concentration"
<http://purl.obolibrary.org/obo/HP_0034612>	"Elevated urine arabitol level"	"Amount of arabitol in the urine above the upper limit of normal."	"Abnormal urine carbohydrate level"
<http://purl.obolibrary.org/obo/HP_0032234>	"Increased circulating creatine kinase MM isoform"	"An increased concentration of the MM isoform of creatine kinase in the blood circulation."	"Abnormal circulating creatine kinase concentration"
<http://purl.obolibrary.org/obo/HP_0025465>	"Abnormal circulating beta globulin level"@en	"A deviation from the normal concentration of beta globulin. The beta globulins are a group of globular (globe-shaped) proteins in blood."	"Abnormal circulating globulin concentration"
<http://purl.obolibrary.org/obo/HP_0040203>	"Abnormal CSF neopterin concentration"	"Abnormal concentration of neopterin in the cerebrospinal fluid (CSF)."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0003113>	"Hypochloremia"	"An abnormally decreased chloride concentration in the blood."	"Abnormal blood chloride concentration"
<http://purl.obolibrary.org/obo/HP_0005539>	"T cell chronic lymphocytic lymphoma/leukemia"	"A form of lymphoid leukemia or lymphoma in which too many T-cell lymphoblasts are found in the blood, bone marrow, and tissues. Leukemia or lymphoma classification depends on which feature is more prominent."	"Lymphoid leukemia"
<http://purl.obolibrary.org/obo/HP_0030156>	"Bence Jones Proteinuria"	"The presence of free monoclonal immunoglobulin light chains in the urine."	"Abnormal urine protein level"
<http://purl.obolibrary.org/obo/HP_0033178>	"Increased circulating interleukin 8 concentration"	"An increased concentration of interleukin-8 in the circulation."	"Abnormal circulating interleukin concentration"
<http://purl.obolibrary.org/obo/HP_0500143>	"Hypoleucinemia"	"Decreased amount of leucine in the blood."	"Abnormal circulating leucine concentration"
<http://purl.obolibrary.org/obo/HP_0040301>	"Increased urinary glycerol"	"An increased concentration of glycerol in the urine."	"Abnormal urine carbohydrate level"
<http://purl.obolibrary.org/obo/HP_0041068>	"Chronic decreased circulating IgG1"	"A lasting decrease of immunoglobulin G1 (IgG1) in the blood."	"Decreased circulating IgG1 level"
<http://purl.obolibrary.org/obo/HP_0034649>	"Elevated urine N-acetylaspartic acid level"	"The amount of N-acetylaspartate in the urine, when corrected for urine concentration, is above upper limit of normal. This feature can be measured using gas chromatography-mass spectrometry."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0001900>	"Increased hemoglobin"		"Polycythemia"
<http://purl.obolibrary.org/obo/HP_6000185>	"Low tetrahydrocortisol (THF) plus 5-alpha-THF/tetrahydrocortisone (THE) ratio"	"The relative concentration of tetrahydrocortisol plus 5-alpha-tetrahydrocortisol relative to that of tetrahydrocortisone is below the lower limit of normal."	"Abnormality of circulating cortisol level"
<http://purl.obolibrary.org/obo/HP_0031835>	"Abnormal superoxide dismutase level"	"An abnormal level of catalysis of the reaction: 2 superoxide + 2 H+ = O2 + hydrogen peroxide."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0040176>	"Abnormal circulating phospholipid concentration"	"Any deviation from the normal concentration of a phospholipid in the blood circulation."	"Abnormal circulating lipid concentration"
<http://purl.obolibrary.org/obo/HP_0030234>	"Highly elevated creatine kinase"	"An increased CPK level between 4X and 50X above the upper normal level."	"Elevated circulating creatine kinase concentration"
<http://purl.obolibrary.org/obo/HP_0034863>	"Reduced leukocyte arylsulfatase A activity"	"Concentration or activity of the lysosomal enzyme arylsulfatase A (EC 3.1.6.8) as measured in leukocytes is below the limits of normal."	"Abnormal leukocyte enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0500187>	"Increased CSF valine concentration"@en	"Any increased amount from normal of valine in the cerebrospinal fluid."	"Abnormal CSF valine concentration"
<http://purl.obolibrary.org/obo/HP_0500153>	"Hyperargininemia"	"An increased amount of arginine levels in the blood."	"Abnormal circulating arginine concentration"
<http://purl.obolibrary.org/obo/HP_0030861>	"Decreased CSF amyloid concentration"	"Reduced concentration of amyloid in the cerebrospinal fluid (CSF)."	"Abnormal CSF amyloid concentration"
<http://purl.obolibrary.org/obo/HP_0410184>	"Abnormal glucose-6-phosphate dehydrogenase level in red blood cells"	"An anomaly in the level of glucose-6-phosphate dehydrogenase in red blood cells."	"Abnormal circulating glucose-6-phosphate dehydrogenase concentration"
<http://purl.obolibrary.org/obo/HP_0032998>	"Increased cystatin C level"	"A elevated concentration of cystatin C in the blood circulation."	"Abnormal cystatin C level"
<http://purl.obolibrary.org/obo/HP_6000439>	"Increased circulating interleukin 15 concentration"	"The concentration of interleukin 15 (IL-15) in the blood circulation is above the upper limit of normal."	"Abnormal circulating interleukin concentration"
<http://purl.obolibrary.org/obo/HP_0003296>	"Hyperthreoninuria"	"An increased concentration of threonine in the urine."	"Increased aspartate family amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_6000231>	"Abnormal tissue enzyme activity"	"Concentration of an enyzme in a tissue is above or between the limit of normal. This term is intended to be used for enzymes that can be measured in multiple tissues other than blood."	"Abnormal enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0003228>	"Hypernatremia"	"An abnormally increased sodium concentration in the blood."	"Abnormal blood sodium concentration"
<http://purl.obolibrary.org/obo/HP_0006254>	"Elevated circulating alpha-fetoprotein concentration"	"Concentration of alpha-fetoprotein in the blood circulation above the upper limit of normal."	"Abnormal circulating alpha-fetoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0034823>	"Decreased CSF copper concentration"	"Concentration of copper in the cerebrospinal fluid (CSF) below the lower limit of normal."	"Abnormal CSF ion concentration"
<http://purl.obolibrary.org/obo/HP_0034909>	"Increased erythrocyte coproporphyrin concentration"	"Concentration of coproporphyrin in erythrocytes above the upper limit of normal."	"Elevated circulating porphyrin concentration"
<http://purl.obolibrary.org/obo/HP_0025345>	"Abnormality of circulating beta-2-microglobulin level"@en	"A deviation from the normal concentration of beta-2-microglobulin in the blood."	"Abnormal circulating beta globulin level"
<http://purl.obolibrary.org/obo/HP_6000083>	"Reduced hepatic dihydropyrimidinase activity"	"Activity of dihydropyrimidinase in the liver below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0020182>	"Abnormal circulating A-type atrial natriuretic peptide concentration"	"A measurable change in circulating levels of Atrial natriuretic peptide hormone, a protein which plays an important role in the regulation of body fluid volume and blood pressure."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0011942>	"Increased urinary sulfite level"	"The concentration of SO3(2-), i.e., sulfite, in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0500247>	"Abnormal CSF alpha-aminobutyrate concentration"@en	"Any deviation from the normal concentration of alpha-aminobutyrate in the cerebrospinal fluid."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_6000266>	"2-oxoadipic aciduria"	"The amount of 2-oxoadipic acid in the urine, normaliyed for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0003343>	"Reduced glutathione synthetase level"	"Reduced level of the enzyme glutathione synthetase, which catalyzes the last step in the synthesis of glutathione and a deficiency results in low levels of glutathione. Acidosis is due to reduced feedback inhibition of gamma-glutamyl cysteine synthetase in the gamma-glutamyl cycle, which ultimately leads to overproduction and accumulation of 5-oxoproline."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0034693>	"Reduced hepatic methionine adenosyltransferase activity"	"Activity of methionine adenosyltransferase in the liver below the lower limit of normal. Note that there are multiple methionine adenosyltransferase isoezymes."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_6000374>	"Increased circulating interleukin 1beta concentration"	"An increased concentration of interleukin-1beta in the blood circulation."	"Abnormal circulating interleukin concentration"
<http://purl.obolibrary.org/obo/HP_6000130>	"Elevated urinary indican level"	"Detection of indican in the urine. Urinary indican concentration may be elevated in small bowel bacterial overgrowth. Indican is produced by bacterial deconjugation of dietary tryptophan to indole which is absorbed at all levels of the intestine, but principally from the small bowel."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0034177>	"Reduced circulating interleukin 17A concentration"	"An abnormally decreased concentration of interleukin 17A in the blood circulation."	"Abnormal circulating interleukin 17A concentration"
<http://purl.obolibrary.org/obo/HP_0500022>	"Abnormal circulating dehydroepiandrosterone concentration"	"A deviation from the normal concentration of dehydroepiandrosterone in the circulation."	"Abnormal circulating androgen level"
<http://purl.obolibrary.org/obo/HP_0030346>	"Abnormal circulating follicle-stimulating hormone concentration"	"An anomaly of the circulating level of follicle-stimulating hormone (FSH)."	"Abnormal circulating gonadotropin concentration"
<http://purl.obolibrary.org/obo/HP_0033984>	"Increased urinary 8-oxo-7,8-dihydroguanosine level"	"An elevated amount of 8-oxo-7,8-dihydroguanosine in the urine."	"Abnormal urinary purine level"
<http://purl.obolibrary.org/obo/HP_0010901>	"Abnormal circulating methionine concentration"	"Any deviation from the normal concentration of methionine in the blood circulation."	"Abnormal circulating sulfur amino acid concentration, Abnormal circulating aspartate family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0033107>	"Abnormal circulating proteinogenic amino acid concentration"	"An elevated level of a proteinogenic amino acid in the blood circulation. These are the 23 alpha-amino acids that are precursors to proteins, and are incorporated into proteins during translation. The group includes the 20 amino acids encoded by the nuclear genes of eukaryotes together with selenocysteine, pyrrolysine, and N-formylmethionine."	"Abnormal circulating amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0041067>	"Transient decreased circulating IgG1"	"A temporary reduction beneath the normal level of total immunoglobulin G1 (IgG1) in the blood circulation."	"Decreased circulating IgG1 level"
<http://purl.obolibrary.org/obo/HP_0032164>	"Increased blood folate concentration"	"An elevated circulating concentration of folic acid, which is also known as vitamin B9."	"Abnormal blood folate concentration"
<http://purl.obolibrary.org/obo/HP_0032329>	"Increased urinary 11-deoxycortisol level"	"An abnormally elevated concentration of 11-deoxycortisol in the urine."	"Abnormal urine hormone level"
<http://purl.obolibrary.org/obo/HP_0004844>	"Coombs-positive hemolytic anemia"	"A type of hemolytic anemia in which the Coombs test is positive."	"Hemolytic anemia"
<http://purl.obolibrary.org/obo/HP_6000265>	"Elevated urinary 3-hydroxykynurenine level"	"The amount of 3-hydroxykynurenine in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0020077>	"Carnitinuria"	"An elevated level of carnitine in the urine."	"Abnormal urine carboxylic acid level"
<http://purl.obolibrary.org/obo/HP_6000239>	"Elevated circulating tumor necrosis factor alpha concentration"	"The concentration of tumor necrosis factor alpha in the blood circulation is above the upper limit of normal."	"Abnormal circulating cytokine concentration"
<http://purl.obolibrary.org/obo/HP_6000082>	"Reduced hepatic beta-ureidopropionase activity"	"Activity of beta-ureidopropionase in the liver below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0005531>	"Biphenotypic acute leukemia"	"A type of actue leukemia with features characteristic of both the myeloid and lymphoid lineages. These leukemias are for this reason are designated mixed-lineage, hybrid or biphenotypic acute leukemias."	"Acute leukemia"
<http://purl.obolibrary.org/obo/HP_0031199>	"Acellular urinary casts"	"A type of urinary cast composed of a proteinaceous matrix without a substantial number of cells."	"Cylindruria"
<http://purl.obolibrary.org/obo/HP_0031885>	"Hyperglycorrhachia"	"Abnormally high glucose concentration in the cerebrospinal fluid."	"Abnormal CSF glucose concentration"
<http://purl.obolibrary.org/obo/HP_0002920>	"Decreased circulating ACTH concentration"	"The concentration of corticotropin, also known as adrenocorticotropic hormone (ACTH), is below the lower limit of normal in the blood circulation."	"Abnormal circulating adrenocorticotropin concentration"
<http://purl.obolibrary.org/obo/HP_0032428>	"Increased HDL3a concentration"	"An elevation above the normal concentration of the HDL3a subfraction in the blood circulation. An HDL3a particle is defined as an HDL particle with a size of 8.2-8.79 nm."	"Abnormal HDL3a concentration"
<http://purl.obolibrary.org/obo/HP_0033387>	"Elevated circulating pyridinoline concentration"	"An increased concentration of hydroxylysyl-pyridinoline (pyridinoline) in the blood circulation."	"Abnormal circulating collagen degradation product concentration"
<http://purl.obolibrary.org/obo/HP_0030984>	"Abnormal serum bile acid concentration"	"A deviation from the normal concentration of serum bile acid concentration."	"Abnormal circulating monocarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0410357>	"Increased high-mannose N-glycan level"	"An abnormal increase in the concentration of high-mannose N-glycans on glycoproteins."	"Abnormal high-mannose N-glycan level"
<http://purl.obolibrary.org/obo/HP_0500159>	"Increased circulating aspartic acid concentration"	"An increased concentration of aspartic acid in the blood circulation."	"Abnormal circulating aspartic acid concentration"
<http://purl.obolibrary.org/obo/HP_0045014>	"Hypolipidemia"		"Abnormal circulating lipid concentration"
<http://purl.obolibrary.org/obo/HP_0410358>	"Decreased high-mannose N-glycan level"	"An abnormal decrease in the concentration of high-mannose N-glycans on glycoproteins."	"Abnormal high-mannose N-glycan level"
<http://purl.obolibrary.org/obo/HP_0033459>	"Decreased circulating apolipoprotein concentration"	"Reduced concentration in the blood circulation of a lipid-transport protein (apoliprotein)."	"Abnormal circulating apolipoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0032274>	"Increased CSF N-acetylaspartic acid concentration"	"An abnormally increased concentration of N-acetylaspartic acid in the cerebrospinal fluid (CSF)."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0003141>	"Increased LDL cholesterol concentration"	"An elevated concentration of low-density lipoprotein cholesterol in the blood."	"Abnormal LDL cholesterol concentration, Hyperlipoproteinemia"
<http://purl.obolibrary.org/obo/HP_0034873>	"Decreased circulating epinephrine concentration"	"Concentration of epinephrin in the blood circulation below the lower limit of normal."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0100950>	"Decreased 3-hydroxyacyl-CoA dehydrogenase level"		"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0001992>	"Organic aciduria"	"Excretion of non-amino organic acids in urine."	"Aciduria"
<http://purl.obolibrary.org/obo/HP_6000125>	"Elevated urinary dolichol level"	"The amount of dolichol in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0003526>	"Orotic acid crystalluria"	"Formation of crystals owing to an increased concentration of orotic acid in the urine."	"Crystalluria"
<http://purl.obolibrary.org/obo/HP_0003138>	"Increased blood urea nitrogen"	"An increased amount of nitrogen in the form of urea in the blood."	"Abnormal blood urea nitrogen concentration, Azotemia"
<http://purl.obolibrary.org/obo/HP_0033381>	"Elevated circulating stearoylcarnitine concentration"	"Abnormally increased concentration of O-stearoylcarnitine in the blood circulation."	"Elevated circulating C18 acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0034731>	"Elevated circulating S-adenosyl-L-methionine concentration"	"Concentration S-adenosyl-L-methionine in the blood circulation above the upper limit of normal."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_4000162>	"Decreased Succinyl-CoA 3-ketoacid CoA transferase activity"@en	"Decreased activity of the enzyme succinyl-CoA 3-ketoacid CoA transferase."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0030235>	"Extremely elevated creatine kinase"	"An increased creatine kinase level more than 50X above the upper normal level."	"Elevated circulating creatine kinase concentration"
<http://purl.obolibrary.org/obo/HP_0003080>	"Hydroxyprolinuria"	"An increased concentration of 4-hydroxy-L-proline in the urine."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0020130>	"Increased urinary neutrophil gelatinase-associated lipocalin"	"An increased concentration of neutrophil gelatinase-associated lipocalin in the urine (there is no generally accepted threshold, but some studies choose a threshold of above 150 nanogram per milliliter)."	"Abnormal urine protein level"
<http://purl.obolibrary.org/obo/HP_0012708>	"Reduced brain N-acetyl aspartate level by MRS"	"A decrease in the level of N-acetyl aspartate in the brain identified by magnetic resonance spectroscopy (MRS)."	"Abnormal brain N-acetyl aspartate level by MRS"
<http://purl.obolibrary.org/obo/HP_6000230>	"Decreased muscle caveolin-3 level"	"The amount of calveolin-3 in muscle tissue is below the lower limit of normal."	"Abnormal muscle tissue metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0032137>	"Decreased circulating IgG3 level"	"A reduction in immunoglobulin levels of the IgG3 subclass in the blood circulation."	"Decreased circulating IgG subclass level"
<http://purl.obolibrary.org/obo/HP_0008305>	"Exercise-induced myoglobinuria"	"Presence of myoglobin in the urine following exercise."	"Myoglobinuria"
<http://purl.obolibrary.org/obo/HP_0040081>	"Abnormal circulating creatine kinase concentration"	"Any deviation from the normal circulating creatine kinase concentration."	"Abnormal circulating enzyme concentration"
<http://purl.obolibrary.org/obo/HP_0002173>	"Hypoglycemic seizures"		"Hypoglycemia"
<http://purl.obolibrary.org/obo/HP_0020072>	"Persistent EBV viremia"	"Persistent presence of Epstein-Barr virus in the blood."	"Persistent viremia"
<http://purl.obolibrary.org/obo/HP_0025138>	"Abnormal serum estrone"@en	"A deviation from the normal concentration of circulating estrone."	"Abnormal circulating estrogen level"
<http://purl.obolibrary.org/obo/HP_0034175>	"Increased circulating interleukin 27 concentration"	"An abnormally increased concentration of interleukin 27 in the blood circulation."	"Abnormal circulating interleukin 27 concentration"
<http://purl.obolibrary.org/obo/HP_0033418>	"Elevated circulating 2-hydroxybutyric acid concentration"	"Elevation of the 2-hydroxybutyric acid concentration in the blood above the normal range."	"Elevated circulating hydroxybutyric acid concentration"
<http://purl.obolibrary.org/obo/HP_0034875>	"Decreased urinary norepinephrine level"	"The concentration of norepinephrine in the urine, normalized for urine concentration, is below the lower limit of normal."	"Decreased urinary catecholamine concentration"
<http://purl.obolibrary.org/obo/HP_0012113>	"Abnormal circulating creatine concentration"	"A deviation from the normal concentration of creatine in the blood circulation. Creatine is a derivative of glycine having methyl and amidino groups attached to the nitrogen. Creatine is naturally produced from amino acids, primarily in liver and kidney, and acts as an energy source for cells, primarly for muscle cells."	"Abnormal circulating organic compound concentration"
<http://purl.obolibrary.org/obo/HP_0032980>	"Absent bronchoalveolar surfactant-protein C"	"Significantly decreased level or failed detection of surfactant protein C in broncho-alveolar lavage fluid. Comment: Pulmonary surfactant is a highly surface-active mixture of proteins and lipids that is synthesized and secreted onto the alveoli by type II epithelial cells. The protein part of surfactant constitutes of four types of surfactant proteins (SP), SP-A, SP-B, SP-C and SP-D. SP-A and SP-D are hydrophilic proteins that regulate surfactant metabolism and have immunologic functions, whereas SP-B and SP-C are hydrophobic molecules, which play a direct role in the organization of the surfactant structure in the interphase and in the stabilization of the lipid layers during the respiratory cycle. Lack of SP-C may result of surfactant metabolism dysfunction and is also observed in patients with other diffuse parenchymal lung diseases, pathogenetically related to the alveolar surfactant region."	"Abnormal bronchoalveolar fluid protein level"
<http://purl.obolibrary.org/obo/HP_6000113>	"Elevated urinary succinyladenosine level"	"The amount of succinyladenosine in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary purine level"
<http://purl.obolibrary.org/obo/HP_0033408>	"Elevated circulating acetoacetic acid concentration"	"An increased level of acetoacetic acid in the blood circulation. Acetoacetic acid is one of the predominant ketone bodies."	"Hyperketonemia"
<http://purl.obolibrary.org/obo/HP_0008326>	"Reduced circulating vitamin B6 circulating"	"An abnormally decreased concentration of vitamin B6 in the blood circulation."	"Abnormal circulating vitamin B6 concentration"
<http://purl.obolibrary.org/obo/HP_0002914>	"Hyperchloriduria"	"An increased concentration of chloride in the urine."	"Abnormal urine chloride concentration"
<http://purl.obolibrary.org/obo/HP_0012726>	"Episodic hypokalemia"	"An abnormally decreased potassium concentration in the blood occurring periodically with a return to normal between the episodes."	"Hypokalemia"
<http://purl.obolibrary.org/obo/HP_0010981>	"Hypolipoproteinemia"	"An abnormal decrease in the level of lipoprotein cholesterol in the blood."	"Abnormality of lipoprotein cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0004845>	"Acute monocytic leukemia"	"The accumulation of transformed primitive hematopoietic blast cells, which lose their ability of normal differentiation and proliferation."	"Acute leukemia"
<http://purl.obolibrary.org/obo/HP_0040421>	"Abnormal urinary inosine level"	"The amount of inosine in the urine, normalized for urine concentration, is outside the limits of normal."	"Abnormal urinary purine level"
<http://purl.obolibrary.org/obo/HP_0032179>	"Abnormal circulating globulin concentration"	"An abnormal concentration of globulins in the blood. Albumin makes up more than half of the total protein present in serum. The remaining blood proteins except albumin and fibrinogen (which is not in serum) are referred to as globulins. The globulin fraction includes hundreds of serum proteins including carrier proteins, enzymes, complement, and immunoglobulins. Most of these are synthesized in the liver, although the immunoglobulins are synthesized by plasma cells. Globulins are divided into four groups by electrophoresis. The four fractions are alpha1, alpha2, beta and gamma, depending on their migratory pattern between the anode and the cathode."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0500237>	"Decreased CSF histidine concentration"@en	"Abnormally decreased levels of histidine in cerebrospinal fluid."	"Abnormal CSF histidine concentration"
<http://purl.obolibrary.org/obo/HP_0010933>	"Hyperxanthinemia"	"An increased level of xanthine in the blood circulation."	"Increased circulating purine concentration"
<http://purl.obolibrary.org/obo/HP_0500235>	"Abnormal CSF histidine concentration"@en	"Any deviation from the normal concentration of histidine in the cerebrospinal fluid."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_6000436>	"Elevated circulating ghrelin concentration"	"The concentration of ghrelin in the blood circulation is above the upper limit of normal. Ghrelin is a 28-amino-acid peptide predominantly secreted in the stomach and stimulates appetite and growth hormone (GH) release."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0034589>	"Increased circulating dehydroepiandrosterone-sulfate concentration"	"Concentration of dehydroepiandrosterone-sulfate in the blood circulation above the upper limit of normal."	"Abnormal circulating dehydroepiandrosterone concentration"
<http://purl.obolibrary.org/obo/HP_6000132>	"Reduced erythrocyte gamma-glutamyl cysteine synthetase activity"	"Activity of gamma-glutamylcysteine synthetase (EC 6.3.2.2) in erythrocytes below the lower limit of normal."	"Abnormal erythrocyte enzyme level"
<http://purl.obolibrary.org/obo/HP_0500197>	"Increased CSF glutamine concentration"@en	"Abnormally increased levels of glutamine in cerebrospinal fluid."	"Abnormal CSF glutamine concentration"
<http://purl.obolibrary.org/obo/HP_0032135>	"Decreased circulating IgG subclass level"	"A reduction below the normal concentration of a subclass of immunoglobulin G (IgG) in the blood."	"Decreased circulating IgG level"
<http://purl.obolibrary.org/obo/HP_0012405>	"Hypocitraturia"	"A lower than normal concentration of citrate(3-) in the urine."	"Abnormal urine citrate concentration"
<http://purl.obolibrary.org/obo/HP_0010904>	"Abnormal circulating histidine concentration"	"An abnormality of a histidine metabolic process."	"Abnormal circulating proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0032386>	"Elevated circulating transferrin concentration"	"An abnormally increased concentration of transferrin in the blood circulation."	"Abnormal circulating transferrin concentration"
<http://purl.obolibrary.org/obo/HP_0033103>	"Elevated circulating CHI3L1 level"	"Increased concentration of chitinase 3-like 1 (CHI3L1) in the blood circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0025435>	"Increased circulating lactate dehydrogenase concentration"@en	"An elevated level of the enzyme lactate dehydrogenase in the blood circulation."	"Abnormal circulating lactate dehydrogenase concentration"
<http://purl.obolibrary.org/obo/HP_4000199>	"Reduced erythrocyte porphobilinogen deaminase activity"@en	"Activity or concentration of in the level of porphobilinogen deaminase (EC 4.3.1.8) in erythrocytes below the lower limit of normal."	"Abnormal erythrocyte enzyme level"
<http://purl.obolibrary.org/obo/HP_0002637>	"Cerebral ischemia"	"Restriction of arterial blood supply to the brain associated with insufficient oxygenation to support the metabolic requirements of the tissue."	"Tissue ischemia"
<http://purl.obolibrary.org/obo/HP_0040178>	"Increased level of platelet-activating factor"		"Abnormal level of platelet-activating factor"
<http://purl.obolibrary.org/obo/HP_0011281>	"Abnormality of urine catecholamine level"	"An abnormal amount of urinary catecholamine concentration."	"Abnormal urine metabolite level"
