?term	?property	?translation_lang	?original_value	?translation
<http://purl.obolibrary.org/obo/HP_0012205>	<http://www.w3.org/2000/01/rdf-schema#label>		"Globozoospermia"	"Globozoospermie"@fr
<http://purl.obolibrary.org/obo/HP_0100589>	<http://www.w3.org/2000/01/rdf-schema#label>		"Urogenital fistula"	"Fistule urogénitale"@fr
<http://purl.obolibrary.org/obo/HP_0031429>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased circulating osteocalcin level"	"Diminution du taux d'ostéocalcine circulant"@fr
<http://purl.obolibrary.org/obo/HP_0001176>	<http://www.w3.org/2000/01/rdf-schema#label>		"Large hands"	"Grandes mains"@fr
<http://purl.obolibrary.org/obo/HP_0100376>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/hypoplasia of the proximal phalanx of the 4th toe"	"Aplasie/hypoplasie de la première phalange du quatrième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0040168>	<http://www.w3.org/2000/01/rdf-schema#label>		"Focal seizures, afebril"	"Comitialité focale afébrile"
<http://purl.obolibrary.org/obo/HP_0025037>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypothalamic gliosis"	"Gliose hypothalamique"@fr
<http://purl.obolibrary.org/obo/HP_0003288>	<http://www.w3.org/2000/01/rdf-schema#label>		"Mitochondrial propionyl-CoA carboxylase defect"	"Anomalie de la propionyl CoA carboxylase mitochondriale"@fr
<http://purl.obolibrary.org/obo/HP_0012842>	<http://www.w3.org/2000/01/rdf-schema#label>		"Skin appendage neoplasm"	"Tumeur d'appendice cutané"@fr
<http://purl.obolibrary.org/obo/HP_0011257>	<http://www.w3.org/2000/01/rdf-schema#label>		"Serpiginous crus of helix"	"Croix de l'hélix serpigineux"@fr
<http://purl.obolibrary.org/obo/HP_0030783>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased serum interleukin-6"	"Augmentation de l'interleukine-6 sérique"
<http://purl.obolibrary.org/obo/HP_0040304>	<http://www.w3.org/2000/01/rdf-schema#label>		"Duplication of the sella turcica"	"Duplication de la selle turcique"@fr
<http://purl.obolibrary.org/obo/HP_0001029>	<http://www.w3.org/2000/01/rdf-schema#label>		"Poikiloderma"	"Poïkilodermie"@fr
<http://purl.obolibrary.org/obo/HP_0410042>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal liver morphology"	"Morphologie anormale du foie"@fr
<http://purl.obolibrary.org/obo/HP_0410261>	<http://www.w3.org/2000/01/rdf-schema#label>		"Wide space between 4th and 5th toe"	"Large espace entre le 4e et le 5e orteil"@fr
<http://purl.obolibrary.org/obo/HP_0009895>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the crus of the helix"	"anomalie de la branche de l'hélix"@fr
<http://purl.obolibrary.org/obo/HP_0010910>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypervalinemia"	"hypervalinémie"@fr
<http://purl.obolibrary.org/obo/HP_0007697>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplasia of the lower eyelids"	"Paupières inférieures hypoplasiques"@fr
<http://purl.obolibrary.org/obo/HP_0007647>	<http://www.w3.org/2000/01/rdf-schema#label>		"Congenital extraocular muscle anomaly"	"Anomalie congénitale des muscles extraoculaires"@fr
<http://purl.obolibrary.org/obo/HP_0100561>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spinal cord lesion"	"Lésions de la moelle épinière"@fr
<http://purl.obolibrary.org/obo/HP_0025532>	<http://www.w3.org/2000/01/rdf-schema#label>		"Positive pathergy test"	"Test de pathergie positif"@fr
<http://purl.obolibrary.org/obo/HP_0000457>	<http://www.w3.org/2000/01/rdf-schema#label>		"Depressed nasal ridge"	"Dépression de l'arête nasale"@fr
<http://purl.obolibrary.org/obo/HP_0001193>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ulnar deviation of the hand or of fingers of the hand"	"Déviation cubitale de la main ou des doigst de la main"@fr
<http://purl.obolibrary.org/obo/HP_0030164>	<http://www.w3.org/2000/01/rdf-schema#label>		"Jaw claudication"	"Claudication de la mâchoire"@fr
<http://purl.obolibrary.org/obo/HP_0011612>	<http://www.w3.org/2000/01/rdf-schema#label>		"Interrupted aortic arch type A"	"Arche aortique  type A interrompu"@fr
<http://purl.obolibrary.org/obo/HP_0500049>	<http://www.w3.org/2000/01/rdf-schema#label>		"Retinopathy of prematurity"	"Retinopathie de prématurité"@fr
<http://purl.obolibrary.org/obo/HP_0012355>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal mannosylation of N-linked protein glycosylation"	"Mannosylation anormale de la glycosylation des protéines liées aux protéines N"@fr
<http://purl.obolibrary.org/obo/HP_0012529>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal dense granule content"	"Contenu des granules dense anormal"@fr
<http://purl.obolibrary.org/obo/HP_0040119>	<http://www.w3.org/2000/01/rdf-schema#label>		"Unilateral conductive hearing impairment"	"Surdité de conduction unilatérale"@fr
<http://purl.obolibrary.org/obo/HP_0030609>	<http://www.w3.org/2000/01/rdf-schema#label>		"Photoreceptor layer loss on macular OCT"	"Perte de la couche des photorécepteurs sur l'OCT maculaire"@fr
<http://purl.obolibrary.org/obo/HP_0030363>	<http://www.w3.org/2000/01/rdf-schema#label>		"Primary Caesarian section"	"Césarienne primaire"@fr
<http://purl.obolibrary.org/obo/HP_0100352>	<http://www.w3.org/2000/01/rdf-schema#label>		"Contracture of the distal interphalangeal joint of the 2nd toe"	"Contractures de l'articulation inter-phalangienne distale du deuxième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0009180>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ulnar deviation of the 5th finger"	"Déviation cubitale de l'auriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0030731>	<http://www.w3.org/2000/01/rdf-schema#label>		"Carcinoma"	"Carcinome"@fr
<http://purl.obolibrary.org/obo/HP_0011562>	<http://www.w3.org/2000/01/rdf-schema#label>		"Straddling atrioventricular valve"	"Chevauchement d'une valve auriculo-ventriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0005259>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal facility in opposing the shoulders"	"Facilité anormale à opposer ses épaules"@fr
<http://purl.obolibrary.org/obo/HP_0032006>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lip tremor"	"Tremblement des lèvres"@fr
<http://purl.obolibrary.org/obo/HP_0001685>	<http://www.w3.org/2000/01/rdf-schema#label>		"Myocardial fibrosis"	"Fibrose myocardique"@fr
<http://purl.obolibrary.org/obo/HP_0002864>	<http://www.w3.org/2000/01/rdf-schema#label>		"Paraganglioma of head and neck"	"Paragangliome de la tête et du cou"@fr
<http://purl.obolibrary.org/obo/HP_0010221>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pseudoepiphysis of the 2nd metacarpal"	"pseudo-épiphyse du 2nd métacarpien"
<http://purl.obolibrary.org/obo/HP_0004841>	<http://www.w3.org/2000/01/rdf-schema#label>		"Reduced factor XII activity"	"Activité diminuée du facteur XII"@fr
<http://purl.obolibrary.org/obo/HP_0000024>	<http://purl.obolibrary.org/obo/IAO_0000115>		"The presence of inflammation of the prostate"	"Présence d'une inflammation de la prostate"
<http://purl.obolibrary.org/obo/HP_0030987>	<http://www.w3.org/2000/01/rdf-schema#label>		"Suppurative cholangitis"	"Cholangite suppurée"@fr
<http://purl.obolibrary.org/obo/HP_0025234>	<http://www.w3.org/2000/01/rdf-schema#label>		"Parasomnia"	"Parasomnie"@fr
<http://purl.obolibrary.org/obo/HP_0006887>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intellectual disability, progressive"	"Déficience intellectuelle progressive"@fr
<http://purl.obolibrary.org/obo/HP_0025260>	<http://www.w3.org/2000/01/rdf-schema#label>		"Stiff wrist"	"Raideur du poignet"@fr
<http://purl.obolibrary.org/obo/HP_0000559>	<http://www.w3.org/2000/01/rdf-schema#label>		"Corneal scarring"	"Cicatrice de la cornée"@fr
<http://purl.obolibrary.org/obo/HP_0005240>	<http://www.w3.org/2000/01/rdf-schema#label>		"Esophageal obstruction"	"Obstruction oesophagienne"@fr
<http://purl.obolibrary.org/obo/HP_0004981>	<http://www.w3.org/2000/01/rdf-schema#label>		"Prominent styloid process of ulna"	"Processus styloïde de l'ulna proéminent"@fr
<http://purl.obolibrary.org/obo/HP_0000013>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplasia of the uterus"	"Hypoplasie utérine"@fr
<http://purl.obolibrary.org/obo/HP_0004383>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplastic left heart"	"Coeur gauche hypoplasique"@fr
<http://purl.obolibrary.org/obo/HP_0031719>	<http://www.w3.org/2000/01/rdf-schema#label>		"True distance exotropia"	"Exotropie de distance réelle"@fr
<http://purl.obolibrary.org/obo/HP_0005880>	<http://www.w3.org/2000/01/rdf-schema#label>		"Metacarpophalangeal synostosis"	"Synostose métacarpo-phalangienne"@fr
<http://purl.obolibrary.org/obo/HP_0000155>	<http://www.w3.org/2000/01/rdf-schema#label>		"Oral ulcer"	"Ulcère buccal"@fr
<http://purl.obolibrary.org/obo/HP_0007774>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplasia of the ciliary body"	"hypoplasie du corps ciliaire"@fr
<http://purl.obolibrary.org/obo/HP_0031257>	<http://www.w3.org/2000/01/rdf-schema#label>		"Arteriovenous malformation of the maxilla"	"Malformation artério-veineuse du maxillaire supérieur"@fr
<http://purl.obolibrary.org/obo/HP_0005507>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hemoglobin Barts"	"Hémoglobinose Barts"@fr
<http://purl.obolibrary.org/obo/HP_0031942>	<http://www.w3.org/2000/01/rdf-schema#label>		"Congenital absence of portal vein"	"Absence congénitale de veine porte"@fr
<http://purl.obolibrary.org/obo/HP_0030956>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of cardiovascular system electrophysiology"	"Anomalie de l'électrophysiologie du système cardiovasculaire"@fr
<http://purl.obolibrary.org/obo/HP_0025190>	<http://www.w3.org/2000/01/rdf-schema#label>		"Generalized tonic-clonic seizures without focal onset"	"Crises tonico-cloniques généralisées sans début focal"
<http://purl.obolibrary.org/obo/HP_0001999>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal facial shape"	"Forme du visage anormale"@fr
<http://purl.obolibrary.org/obo/HP_0001547>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the rib cage"	"Anomalie de la morphologie de la cage thoracique"
<http://purl.obolibrary.org/obo/HP_0410149>	<http://www.w3.org/2000/01/rdf-schema#label>		"Drug-induced anaphylaxis"	"Anaphylaxie d'origine médicamenteuse"@fr
<http://purl.obolibrary.org/obo/HP_0009107>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal ossification involving the femoral head and neck"	"Ossification anormale impliquant la tête et le col du fémur"@fr
<http://purl.obolibrary.org/obo/HP_0005793>	<http://www.w3.org/2000/01/rdf-schema#label>		"Shortening of all distal phalanges of the toes"	"Phalanges distales des orteils courtes"@fr
<http://purl.obolibrary.org/obo/HP_0100456>	<http://www.w3.org/2000/01/rdf-schema#label>		"Osteolytic defects of the proximal phalanx of the 4th toe"	"Anomalies ostéolytiques de la phalange proximale du quatrième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0031937>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tachylalia"	"Tachylalie"@fr
<http://purl.obolibrary.org/obo/HP_0030503>	<http://www.w3.org/2000/01/rdf-schema#label>		"Macular telangiectasia"	"Télangiectasie maculaire"@fr
<http://purl.obolibrary.org/obo/HP_0030062>	<http://www.w3.org/2000/01/rdf-schema#label>		"Craniopharyngioma"	"Craniopharyngiome"@fr
<http://purl.obolibrary.org/obo/HP_0031569>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absent aortic valve cusps"	"Absence de cuspides valvulaires aortiques"@fr
<http://purl.obolibrary.org/obo/HP_0012158>	<http://www.w3.org/2000/01/rdf-schema#label>		"Carotid artery dissection"	"Dissection de l'artère carotide"@fr
<http://purl.obolibrary.org/obo/HP_0012250>	<http://www.w3.org/2000/01/rdf-schema#label>		"ST segment depression"	"Dépression du segment ST"@fr
<http://purl.obolibrary.org/obo/HP_0030235>	<http://www.w3.org/2000/01/rdf-schema#label>		"Extremely elevated creatine kinase"	"Taux plasmatique de créatine kinase extrêmement élevé"@fr
<http://purl.obolibrary.org/obo/HP_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>		"Functional abnormality of the bladder"	"Anomalie fonctionnelle de la vessie"@fr
<http://purl.obolibrary.org/obo/HP_0011289>	<http://www.w3.org/2000/01/rdf-schema#label>		"EEG with temporal sharp slow waves"	"EEG avec ondes lentes aiguës temporales"@fr
<http://purl.obolibrary.org/obo/HP_0011123>	<http://www.w3.org/2000/01/rdf-schema#label>		"Inflammatory abnormality of the skin"	"Anomalie inflammatoire de la peau"@fr
<http://purl.obolibrary.org/obo/HP_0100878>	<http://www.w3.org/2000/01/rdf-schema#label>		"Enlarged uterus"	"Utérus élargi"@fr
<http://purl.obolibrary.org/obo/HP_0031216>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased circulating progesterone"	"Augmentation du taux de progestérone en circulation"@fr
<http://purl.obolibrary.org/obo/HP_0003131>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cystinuria"	"Cystinurie"@fr
<http://purl.obolibrary.org/obo/HP_0100684>	<http://www.w3.org/2000/01/rdf-schema#label>		"Salivary gland neoplasm"	"Néoplasie des glandes salivaires"@fr
<http://purl.obolibrary.org/obo/HP_0007471>	<http://www.w3.org/2000/01/rdf-schema#label>		"Axillary and groin hyperpigmentation and hypopigmentation"	"Hyperpigmentation et hypopigmentation des aisselles et de l'aine"@fr
<http://purl.obolibrary.org/obo/HP_0030889>	<http://www.w3.org/2000/01/rdf-schema#label>		"Congenital shortened small intestine"	"Intestin grêle raccourci congénital"@fr
<http://purl.obolibrary.org/obo/HP_0010091>	<http://www.w3.org/2000/01/rdf-schema#label>		"Symphalangism affecting the proximal phalanx of the hallux"	"Symphalangisme affectant la phalange proximale de l'hallux"@fr
<http://purl.obolibrary.org/obo/HP_0031664>	<http://www.w3.org/2000/01/rdf-schema#label>		"Systolic heart murmur"	"Souffle cardiaque systolique"@fr
<http://purl.obolibrary.org/obo/HP_0007576>	<http://www.w3.org/2000/01/rdf-schema#label>		"Palmar neurofibromas"	"neurofibromes palmaires"@fr
<http://purl.obolibrary.org/obo/HP_0012377>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hemianopia"	"Hémianopsie"@fr
<http://purl.obolibrary.org/obo/HP_0002756>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pathologic fracture"	"Fracture pathologique"@fr
<http://purl.obolibrary.org/obo/HP_0004214>	<http://www.w3.org/2000/01/rdf-schema#label>		"Curved phalanges of the 5th finger"	"Courbure des phalanges de l'auriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0009709>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased CSF interferon alpha"	"Interferon alpha du LCR augmenté"@fr
<http://purl.obolibrary.org/obo/HP_0100481>	<http://www.w3.org/2000/01/rdf-schema#label>		"Proximal/middle symphalangism of 4th toe"	"Symphalangisme des phalanges proximales et moyennes du quatrième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0009444>	<http://www.w3.org/2000/01/rdf-schema#label>		"Patchy sclerosis of 3rd finger phalanx"	"Sclérose irrégulière des phalanges du majeur"@fr
<http://purl.obolibrary.org/obo/HP_0007962>	<http://www.w3.org/2000/01/rdf-schema#label>		"Speckled corneal dystrophy"	"Dystrophie cornéenne mouchetée"@fr
<http://purl.obolibrary.org/obo/HP_0031870>	<http://www.w3.org/2000/01/rdf-schema#label>		"Phosphohydroxylysinuria"	"Phosphohydroxylysinurie"@fr
<http://purl.obolibrary.org/obo/HP_0025090>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal large intestinal mucosa morphology"	"Morphologie anormale de la muqueuse du gros intestin"@fr
<http://purl.obolibrary.org/obo/HP_0002353>	<http://www.w3.org/2000/01/rdf-schema#label>		"EEG abnormality"	"Anomalie de l'EEG"@fr
<http://purl.obolibrary.org/obo/HP_0008031>	<http://www.w3.org/2000/01/rdf-schema#label>		"Posterior Y-sutural cataract"	"Cataracte de la suture en ''Y'' postérieure"@fr
<http://purl.obolibrary.org/obo/HP_0009795>	<http://www.w3.org/2000/01/rdf-schema#label>		"Branchial fistula"	"Fistule branchiale"@fr
<http://purl.obolibrary.org/obo/HP_0008288>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nonketotic hyperglycinemia"	"Hyperglycinémie non cétosique"@fr
<http://purl.obolibrary.org/obo/HP_0000422>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the nasal bridge"	"Anomalie de l'arête nasale"
<http://purl.obolibrary.org/obo/HP_0003300>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ovoid vertebral bodies"	"Corps vertébraux ovoïdes"@fr
<http://purl.obolibrary.org/obo/HP_0011004>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal systemic arterial morphology"	"Anomalie morphologique de l'arbre artériel systémique"@fr
<http://purl.obolibrary.org/obo/HP_0003040>	<http://www.w3.org/2000/01/rdf-schema#label>		"Arthropathy"	"Arthropathie"@fr
<http://purl.obolibrary.org/obo/HP_0100926>	<http://www.w3.org/2000/01/rdf-schema#label>		"Sclerosis of 2nd toe phalanx"	"Sclérose de la phalange du second orteil"@fr
<http://purl.obolibrary.org/obo/HP_0040167>	<http://www.w3.org/2000/01/rdf-schema#label>		"Facial papilloma"	"Papillome facial"@fr
<http://purl.obolibrary.org/obo/HP_0025531>	<http://www.w3.org/2000/01/rdf-schema#label>		"Harlequin phenomenon"	"Phénomène arlequin"@fr
<http://purl.obolibrary.org/obo/HP_0100944>	<http://www.w3.org/2000/01/rdf-schema#label>		"Sclerosis of the distal phalanx of the hallux"	"sclérose de la phalange distale de l'hallux"@fr
<http://purl.obolibrary.org/obo/HP_0000104>	<http://www.w3.org/2000/01/rdf-schema#label>		"Renal agenesis"	"Agénésie rénale"@fr
<http://purl.obolibrary.org/obo/HP_0100159>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cone-shaped epiphysis of the proximal phalanx of the 3rd toe"	"Épiphyses en forme de cône de la phalange proximale du troisième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0007406>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperpigmentation of eyelids"	"Hyperpigmentation des paupières"@fr
<http://purl.obolibrary.org/obo/HP_0001939>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of metabolism/homeostasis"	"Anomalie du métabolisme/homéostasie"@fr
<http://purl.obolibrary.org/obo/HP_0012123>	<http://www.w3.org/2000/01/rdf-schema#label>		"Posterior uveitis"	"Uvéite postérieure"@fr
<http://purl.obolibrary.org/obo/HP_0031810>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anti-ganglioside antibody positivity"	"Positivité des anticorps anti-gangliosides"@fr
<http://purl.obolibrary.org/obo/HP_0009957>	<http://www.w3.org/2000/01/rdf-schema#label>		"Complete duplication of the phalanges of the 2nd finger"	"duplication complète des phalanges de l'index"@fr
<http://purl.obolibrary.org/obo/HP_0410263>	<http://www.w3.org/2000/01/rdf-schema#label>		"Brain imaging abnormality"	"Anomalie de l'imagerie cérébrale"@fr
<http://purl.obolibrary.org/obo/HP_0000030>	<http://purl.obolibrary.org/obo/IAO_0000115>		"The presence of a gonadoblastoma of the testis"	"Présence d'un gonadoblastome dans les testicules"
<http://purl.obolibrary.org/obo/HP_0008625>	<http://www.w3.org/2000/01/rdf-schema#label>		"Severe sensorineural hearing impairment"	"Déficit auditif neurosensoriel sévère"@fr
<http://purl.obolibrary.org/obo/HP_0011620>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of abdominal situs"	"Anomalie du situs abdominal"@fr
<http://purl.obolibrary.org/obo/HP_0010220>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the epiphysis of the 2nd metacarpal"	"Anomalie des épiphyses du second métacarpien"@fr
<http://purl.obolibrary.org/obo/HP_0001249>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intellectual disability"	"Déficience intellectuelle"@fr
<http://purl.obolibrary.org/obo/HP_0032112>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal Pelli Robson contrast sensitivity chart test"	"Abnormal Pelli Robson contrast sensitivity chart test"
<http://purl.obolibrary.org/obo/HP_0000532>	<http://purl.obolibrary.org/obo/IAO_0000115>		"An abnormality of the choroid and retina"	"Anomalie de la choroïde et de la rétine"
<http://purl.obolibrary.org/obo/HP_0000585>	<http://www.w3.org/2000/01/rdf-schema#label>		"Band keratopathy"	"Kératopathie en bandelettes"@fr
<http://purl.obolibrary.org/obo/HP_0004226>	<http://www.w3.org/2000/01/rdf-schema#label>		"Curved distal phalanx of the 5th finger"	"Courbure de la phalange distale de l'auriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0030805>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absent lunula"	"Absence de lunule"@fr
<http://purl.obolibrary.org/obo/HP_0001010>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypopigmentation of the skin"	"Hypopigmentation cutanée"@fr
<http://purl.obolibrary.org/obo/HP_0011052>	<http://www.w3.org/2000/01/rdf-schema#label>		"Agenesis of maxillary premolar"	"agénésie d'une prémolaire maxillaire"@fr
<http://purl.obolibrary.org/obo/HP_0012856>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal scrotal rugation"	"Rugation scrotale anormale"@fr
<http://purl.obolibrary.org/obo/HP_0003472>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypocalcemic tetany"	"Tétanie hypocalcémique"@fr
<http://purl.obolibrary.org/obo/HP_0045036>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal urinary copper concentration"	"Concentration urinaire de cuivre anormale"@fr
<http://purl.obolibrary.org/obo/HP_0011999>	<http://www.w3.org/2000/01/rdf-schema#label>		"Paranoia"	"Paranoïa"@fr
<http://purl.obolibrary.org/obo/HP_0012550>	<http://www.w3.org/2000/01/rdf-schema#label>		"Colonic varices"	"Varices coliques"@fr
<http://purl.obolibrary.org/obo/HP_0003003>	<http://www.w3.org/2000/01/rdf-schema#label>		"Colon cancer"	"Cancer colorectal"@fr
<http://purl.obolibrary.org/obo/HP_0003881>	<http://www.w3.org/2000/01/rdf-schema#label>		"Humeral sclerosis"	"Sclérose humérale"@fr
<http://purl.obolibrary.org/obo/HP_0004646>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplasia of the nasal bone"	"Hypoplasie de l'os nasal"@fr
<http://purl.obolibrary.org/obo/HP_0002863>	<http://www.w3.org/2000/01/rdf-schema#label>		"Myelodysplasia"	"Syndrome myélodysplasique"@fr
<http://purl.obolibrary.org/obo/HP_0001430>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the calf musculature"	"Anomalie de la musculature du mollet"@fr
<http://purl.obolibrary.org/obo/HP_0010944>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the renal pelvis"	"Anomalie du pelvis rénal"
<http://purl.obolibrary.org/obo/HP_0007344>	<http://www.w3.org/2000/01/rdf-schema#label>		"Atrophy/Degeneration involving the spinal cord"	"Atrophie/dégénérescence impliquant la moelle spinale"@fr
<http://purl.obolibrary.org/obo/HP_0100324>	<http://www.w3.org/2000/01/rdf-schema#label>		"Scleroderma"	"Sclérodermie"@fr
<http://purl.obolibrary.org/obo/HP_0001194>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormalities of placenta or umbilical cord"	"Anomalies du placenta ou du cordon ombilical"@fr
<http://purl.obolibrary.org/obo/HP_0011223>	<http://www.w3.org/2000/01/rdf-schema#label>		"Metopic depression"	"dépression métopique"@fr
<http://purl.obolibrary.org/obo/HP_0100208>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ivory epiphysis of the distal phalanx of the 5th toe"	"Épiphyse d'aspect ivoire de la phalange distale du cinquième oreil"@fr
<http://purl.obolibrary.org/obo/HP_0008179>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased Arden ratio of electrooculogram"	"Électrooculogramme avec ratio de Arden diminué"@fr
<http://purl.obolibrary.org/obo/HP_0005381>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent meningococcal disease"	"Infections méningococciques récurrentes"@fr
<http://purl.obolibrary.org/obo/HP_0030984>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal serum bile acid concentration"	"Concentration anormale d'acides biliaires sériques"@fr
<http://purl.obolibrary.org/obo/HP_0025465>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal circulating beta globulin level"	"Taux anormal de bêta-globuline circulante"@fr
<http://purl.obolibrary.org/obo/HP_0000564>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lacrimal duct atresia"	"Atrésie du canal lacrymal"@fr
<http://purl.obolibrary.org/obo/HP_0025224>	<http://www.w3.org/2000/01/rdf-schema#label>		"Triggered by sodium ingestion"	"Déclenché par l'ingestion de sodium"@fr
<http://purl.obolibrary.org/obo/HP_0011563>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal ventriculoarterial connection"	"Connexion ventriculoartérielle anormale"@fr
<http://purl.obolibrary.org/obo/HP_0010106>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia of the proximal phalanx of the hallux"	"Aplasie de la première phalange de l'hallux"@fr
<http://purl.obolibrary.org/obo/HP_0100610>	<http://www.w3.org/2000/01/rdf-schema#label>		"Maternal hyperphenylalaninemia"	"Hyperphénylalaninémie maternelle"@fr
<http://purl.obolibrary.org/obo/HP_0009386>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fragmentation of the epiphyses of the 5th finger"	"fragmentation épiphysaire de l'auriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0410243>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal IgM level"	"Taux d'IgM anormal"
<http://purl.obolibrary.org/obo/HP_0100458>	<http://www.w3.org/2000/01/rdf-schema#label>		"Osteolytic defects of the distal phalanx of the 3rd toe"	"Anomalies ostéolytiques de la phalange distale du troisième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0002132>	<http://www.w3.org/2000/01/rdf-schema#label>		"Porencephalic cyst"	"Kyste porencéphalie"@fr
<http://purl.obolibrary.org/obo/HP_0010776>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tracheobronchmegaly"	"Trachéobronchomégalie"@fr
<http://purl.obolibrary.org/obo/HP_0011195>	<http://www.w3.org/2000/01/rdf-schema#label>		"EEG with focal sharp slow waves"	"EEG avec ondes lentes aiguës focales"@fr
<http://purl.obolibrary.org/obo/HP_0200016>	<http://www.w3.org/2000/01/rdf-schema#label>		"Acrokeratosis"	"Acrokératose"@fr
<http://purl.obolibrary.org/obo/HP_0500096>	<http://www.w3.org/2000/01/rdf-schema#label>		"Venom-induced anaphylaxis"	"Anaphylaxie induite par du venin"@fr
<http://purl.obolibrary.org/obo/HP_0100702>	<http://www.w3.org/2000/01/rdf-schema#label>		"Arachnoid cyst"	"Kyste arachnoïdien"@fr
<http://purl.obolibrary.org/obo/HP_0003607>	<http://www.w3.org/2000/01/rdf-schema#label>		"4-Hydroxyphenylacetic aciduria"	"Acidurie 4 hydroxyphénylacétique"
<http://purl.obolibrary.org/obo/HP_0011760>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pituitary growth hormone cell adenoma"	"Adénome hypophysaire somatotrope"@fr
<http://purl.obolibrary.org/obo/HP_0008468>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal sacral segmentation"	"Segmentation sacrée anormale"@fr
